"longitude","latitude","seasonal_low_temp","cold_dormancy_6mo","hot_dormancy_6mo"
0.5,89.5,-1.79948713926551,-1.79948713926551,-1.79948713926551
0.5,88.5,-1.79948713926551,-1.79948713926551,-1.79948713926551
0.5,87.5,-1.79153842149446,-1.79153842149446,-1.78871790873699
0.5,86.5,-1.79897431876415,-1.79897431876415,-1.79871790851347
0.5,85.5,-1.79948713926551,-1.79948713926551,-1.79899995978922
0.5,84.5,-1.79948713926551,-1.79948713926551,-1.7987499597948
0.5,83.5,-1.79948713926551,-1.79846149826279,-1.79487175475328
0.5,82.5,-1.79948713926551,-1.78692303698223,-1.76230765291705
0.5,81.5,-1.69205124423099,-1.65948714239475,-1.49179483845066
0.5,80.5,-1.18615381964124,-1.13128202599593,-0.869743570303306
0.5,79.5,-0.39564101679776,-0.314615377583183,0.00846153827240834
0.5,78.5,0.387948709277388,0.500256399074808,0.88999998010695
0.5,77.5,0.806666648636262,0.906153825899729,1.43333330129584
0.5,76.5,0.643846139455071,0.755897419001812,1.40512817372114
0.5,75.5,-0.196666662270824,-0.0743589726969218,0.661282036501246
0.5,74.5,-0.188717944499774,-0.137692304614645,0.829999981448054
0.5,73.5,0.605384601853215,0.648717934217973,1.72769226907538
0.5,72.5,1.86769226594613,1.90692303430002,3.01615377873755
0.5,71.5,3.05897429060095,3.12641018652954,4.22717939269466
0.5,70.5,4.27384605831825,4.34743580026313,5.39025628977479
0.5,69.5,5.14384603887223,5.22641013959088,6.25333319356044
0.5,68.5,5.48051269801381,5.56589731148993,6.73025625982346
0.5,67.5,5.20641014003792,5.3766665464888,6.8348716421005
0.5,66.5,5.29512808677287,5.49564090280388,7.01153830481836
0.5,65.5,5.6861537190584,5.90999986790121,7.2533331712087
0.5,64.5,6.25794857807266,6.51358959799967,7.73615367323733
0.5,63.5,6.92923061435039,7.14743573767826,8.23435879030671
0.5,62.5,7.49871778110854,7.70615367390789,8.71487160007923
0.5,61.5,7.7658972623161,7.98333315489193,9.10435877086069
0.5,60.5,7.69025623836578,7.89846136191717,9.22948697319207
0.5,59.5,7.38948701431927,7.56794854879188,9.41461517418233
0.5,58.5,7.07666650849084,7.2484613764458,9.39461517462937
0.5,57.5,6.83282036009507,7.04384599640392,9.31846133017769
0.5,56.5,6.65589728712654,6.95307676766354,9.30461517664102
0.5,55.5,6.41512806173892,6.89384599975668,9.449230558024
0.5,54.5,6.23948704002377,6.91641010181644,9.53153824849197
0.5,53.5,6.19846139991513,6.99871779228441,9.63487157951563
0.5,51.5,7.70564085340653,8.69435878002491,11.6353843553135
0.5,50.5,8.01051264146391,8.90435877533104,11.8582048631536
0.5,49.5,8.15384597159349,8.99410236306871,12.0520510126669
0.5,40.5,13.6848714889911,14.7620509520937,17.9523072910423
0.5,39.5,13.8587176389515,14.9405124865663,18.0746149806162
0.5,38.5,14.3179483979176,15.3507688876528,18.3107688214916
0.5,37.5,14.8141022329816,15.7761534935293,17.8230765247001
0.5,36.5,15.1246150465539,16.0215381034292,17.8628201135554
0.5,5.5,24.313332789888,24.313332789888,24.313332789888
0.5,4.5,24.7956404714153,24.7956404714153,24.7956404714153
0.5,3.5,25.4338455853554,25.4338455853554,25.4338455853554
0.5,2.5,25.9174353181361,25.9174353181361,25.9174353181361
0.5,1.5,25.9592301889967,25.9592301889967,25.9592301889967
0.5,0.5,25.3794866122114,25.3794866122114,25.3794866122114
0.5,-0.5,24.4010250956202,24.4010250956202,24.4010250956202
0.5,-1.5,23.5697430629188,23.5697430629188,23.5697430629188
0.5,-2.5,23.09820461192,23.09820461192,23.09820461192
0.5,-3.5,22.9623071790601,22.9623071790601,22.9623071790601
0.5,-4.5,23.0297430749887,23.0297430749887,23.0297430749887
0.5,-5.5,23.0161533317027,23.0161533317027,23.0161533317027
0.5,-6.5,22.84897384826,22.84897384826,22.84897384826
0.5,-7.5,22.55820462399,22.55820462399,22.55820462399
0.5,-8.5,22.2128200163253,22.2128200163253,22.2128200163253
0.5,-9.5,21.9487174581259,21.9487174581259,21.9487174581259
0.5,-10.5,21.64820464433,21.64820464433,21.64820464433
0.5,-11.5,21.2435892687585,21.2435892687585,21.2435892687585
0.5,-12.5,20.6912815887959,20.6912815887959,20.6912815887959
0.5,-13.5,20.1848713437048,20.1848713437048,20.1848713437048
0.5,-14.5,19.7584995583631,19.7584995583631,19.7584995583631
0.5,-15.5,19.433249565633,19.433249565633,19.433249565633
0.5,-16.5,19.1842495711986,19.1842495711986,19.1842495711986
0.5,-17.5,19.1137495727744,19.1137495727744,19.1137495727744
0.5,-18.5,19.1259995725006,19.1259995725006,19.1259995725006
0.5,-19.5,19.1314995723777,19.1314995723777,19.1314995723777
0.5,-20.5,19.0533329074581,19.0533329074581,19.0533329074581
0.5,-21.5,19.0069226520852,19.0069226520852,19.0069226520852
0.5,-22.5,18.9515380379386,18.9515380379386,18.9515380379386
0.5,-23.5,18.8469226556615,18.8469226556615,18.8469226556615
0.5,-24.5,18.6853841977337,18.6853841977337,18.6853841977337
0.5,-25.5,18.5079483042638,18.5079483042638,18.5079483042638
0.5,-26.5,18.3092303599876,18.3092303599876,18.3092303599876
0.5,-27.5,18.0720508781095,18.0720508781095,18.0720508781095
0.5,-28.5,17.7612816542865,17.7612816542865,17.7612816542865
0.5,-29.5,17.4715380710191,17.4715380710191,17.4715380710191
0.5,-30.5,17.1799996159971,17.1799996159971,17.1799996159971
0.5,-31.5,16.8438457773569,16.8438457773569,16.8438457773569
0.5,-32.5,16.397179120674,16.397179120674,16.397179120674
