"longitude","latitude","seasonal_high_temp","hot_dormancy_1","hot_dormancy_2","hot_dormancy_3"
0.5,89.5,-1.79923072901483,-1.79923072901483,-1.79923072901483,-1.79923072901483
0.5,88.5,-1.79923072901483,-1.79923072901483,-1.79923072901483,-1.79923072901483
0.5,87.5,-1.71974355130433,-1.7420512431134,-1.75512816589803,-1.76307688366908
0.5,86.5,-1.71666662829618,-1.73564098684643,-1.75128201213785,-1.7592307299089
0.5,85.5,-1.70666662851969,-1.72923073057945,-1.74051278160933,-1.75102560188717
0.5,84.5,-1.68102560345179,-1.72179483330976,-1.72923073057945,-1.74282047386544
0.5,83.5,-1.5561538113711,-1.62615380980648,-1.67871791119568,-1.69487175698846
0.5,82.5,-1.27999997138977,-1.41384612224423,-1.5120512482543,-1.56692304189962
0.5,81.5,-0.686410241067792,-0.875384595818244,-1.02974356672703,-1.17324997377582
0.5,80.5,0.274871788727931,0.0679487164299458,-0.123589740827298,-0.366999991796911
0.5,79.5,1.52666663254301,1.34794868781972,1.08923074488456,0.753749983152375
0.5,78.5,2.7525640410395,2.60461532639769,2.27641020552852,1.91641021357515
0.5,77.5,3.83666658091048,3.67384607172929,3.38333325770994,2.91102557595915
0.5,76.5,4.55358964180908,4.40128195290573,4.0346152944347,3.40384607776426
0.5,75.5,4.89205117270541,4.70025630519749,4.22076913642769,3.33524992545135
0.5,74.5,5.54256397867814,5.32948706036386,4.80948707198676,3.82749991444871
0.5,73.5,6.47076908613627,6.25230755255772,5.66820500151087,4.65799989588559
0.5,72.5,7.47999983280897,7.28282035003679,6.64051267208579,5.67374987318181
0.5,71.5,8.3176921217774,8.09897417794818,7.50846137063435,6.66224985108711
0.5,70.5,9.18410235882187,8.9305126209003,8.43282032433229,7.56574983089231
0.5,69.5,9.93666644456486,9.70538439845236,9.22102543491966,8.36846135141185
0.5,68.5,10.5179484828542,10.2733331037064,9.76871773037009,8.91025621109666
0.5,67.5,10.9294869351941,10.6384613006734,10.0976920819913,9.21358953764996
0.5,66.5,11.3264100032453,11.0248715484467,10.4699997659773,9.61769209272013
0.5,65.5,11.6697433289045,11.3699997458607,10.8246151426664,10.0538459291252
0.5,64.5,11.9541022969075,11.666153585395,11.1551279557917,10.3394869483816
0.5,63.5,12.2320510086436,11.9294869128424,11.4276920522635,10.6041023270824
0.5,62.5,12.5687176677852,12.2899997252971,11.7594869166422,10.9861536005942
0.5,61.5,12.9656407358364,12.7005125366342,12.1512817796797,11.4325638470264
0.5,60.5,13.386922777702,13.1256407322601,12.5325638224395,11.8464099916224
0.5,59.5,13.7228202060916,13.4551279043827,12.7882048423665,12.1512817796797
0.5,58.5,14.1333330174287,13.7753843074808,13.1523073983307,12.3612817749859
0.5,57.5,14.5882048021333,14.1643586577609,13.5648714916733,12.6033330516269
0.5,56.5,15.0017945364786,14.5830765971198,13.9438458421769,12.8974356091557
0.5,55.5,15.2097432497793,14.7774355671345,14.1141022486278,13.2435894475724
0.5,54.5,15.5428201654114,15.1653842764119,14.4992304451477,13.7289740521079
0.5,53.5,15.8474355432181,15.5582047804521,14.9158971025011,13.9294868681389
0.5,51.5,17.2830765367701,17.041025260129,16.5056406567112,15.7097432386035
0.5,50.5,17.4530765329703,17.2564098706994,16.7382047540771,15.9376919514571
0.5,49.5,17.544358582212,17.3920508933086,16.9246150063208,16.1247496395838
0.5,40.5,26.4369224860118,26.0917942885978,25.1392302073252,23.9092302348178
0.5,39.5,26.3497430007809,26.062050699519,25.1415378995813,23.9287174138694
0.5,38.5,26.0602558277643,25.8297430124038,24.9174353404878,23.7953840835163
0.5,37.5,25.5815378897465,25.321537895558,24.3364097124491,23.3117943507357
0.5,36.5,25.1892302062076,24.8694866236108,23.8325635698648,22.8466661560039
0.5,5.5,28.9456403786555,28.8892301235061,28.6761532051919,28.4812814146758
0.5,4.5,29.1894865270513,29.1171788363598,28.947691660661,28.5930762839719
0.5,3.5,29.4864095973376,29.3856403688208,29.1858967835418,28.9297429431134
0.5,2.5,29.6276916454618,29.4912813921005,29.3941019070932,29.0694865297335
0.5,1.5,29.5515378010101,29.4061531888751,29.2069224240975,28.9666660192112
0.5,0.5,29.3456403697148,29.2164096033726,28.9202557638383,28.6835891024616
0.5,-0.5,29.1266660156349,28.9982044800447,28.6802557692027,28.3779480836521
0.5,-1.5,28.9694865319687,28.8223070480789,28.4866660299401,28.1258968072346
0.5,-2.5,28.8835890979912,28.727178845077,28.3610250071073,27.9676916825657
0.5,-3.5,28.8361532016156,28.6766660256932,28.2976916751896,27.8910250176126
0.5,-4.5,28.7399993576109,28.5723070536668,28.236666035528,27.8607686080325
0.5,-5.5,28.6153839757809,28.4387173130631,28.1441019350329,27.7625634820224
0.5,-6.5,28.4253839800278,28.243076291795,27.988973733372,27.5915378448195
0.5,-7.5,28.1584609090709,27.9776916823422,27.7476916874831,27.3233327226092
0.5,-8.5,27.8117942501528,27.6412814334513,27.4043583618238,26.9302558083183
0.5,-9.5,27.3941019517967,27.2233327248444,26.9884609352224,26.4764096646164
0.5,-10.5,26.9135891420241,26.7497429918402,26.5274353045015,25.9984609573506
0.5,-11.5,26.4030763329222,26.2312814649672,26.060512238015,25.5271789166026
0.5,-12.5,25.9020507030953,25.7489737834399,25.5738455822261,25.0817943111731
0.5,-13.5,25.4558968669138,25.335896869596,25.0564096963558,24.6089738089209
0.5,-14.5,25.0838455931785,24.9625635446073,24.7428199597754,24.1512815114588
0.5,-15.5,24.7853840613881,24.6812814996124,24.4248712489334,23.8935892095264
0.5,-16.5,24.521025092938,24.431537915451,24.1710251007611,23.6810251117135
0.5,-17.5,24.2892302263242,24.190255869562,23.9320507471283,23.4969225517259
0.5,-18.5,24.0799994617701,23.9587174131989,23.7112815212936,23.3079481969755
0.5,-19.5,23.9007686965454,23.7623071611787,23.5069225515024,23.1292302522522
0.5,-20.5,23.7282045978384,23.5889738317197,23.3207687095094,22.9512815382809
0.5,-21.5,23.6038456262591,23.4546148603639,23.1856405074016,22.8266661564509
