Genus,Species,N,Tmax,max_metric,error,error.measure,Multiple.measures,max_interval_after_LT0,Tmax_2,max_metric_2,error.1,error.measure.1,max_interval_before_LT100,max_pretreatment,max_ramp,lat_max,long_max,elevation_max,REF_max,location_max,N.1,tmin,min_metric,error.2,error_type,Multiple.measures_min,min_interval_after_LT0,N.2,tmin_2,min_metric_2,error.3,error_type.1,min_interval_before_LT100,min_pretreatment,ramp_min,lat_min,long_min,elevation_min,REF_min,location_min,Phylum,Class,Order,Family,Quality.of.UTNZ,Realm,Realm.1,Realm.2,max_pretreatmentnum,thermy,realm,elevation_min_0,elevation_max_0
Octodon,degus,4,35,UTNZ,NA,,N,NA,NA,,NA,NA,NA,,NA,-37.04,-66.16,NA,Arends_&_McNab_2001,2,4,27,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,-37.04,-66.16,NA,Arends_&_McNab_2001,2,Chordata,Mammalia,Rodentia,Octodontidae,2,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Octodon,lunatus,NA,33,UTNZ,NA,,N,NA,NA,,NA,NA,NA,,NA,-33,-71,NA,"Bozinovic_unpublished_data_in_Araujo_et_al_2013, Bozinovic_1992",1,NA,23,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,-36,-72,NA,Bozinovic_unpulished_data_in_Araujo_et_al_2013_Bozinovic_1992,1,Chordata,Mammalia,Rodentia,Octodontidae,NA,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Octodontomys,gliroides,2,35,UTNZ,NA,,N,NA,NA,,NA,NA,NA,,NA,-42.45,-66.14,NA,Arends_&_McNab_2001,2,2,25,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,-42.45,-66.14,NA,Arends_&_McNab_2001,2,Chordata,Mammalia,Rodentia,Ctenomyidae,2,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Octomys,mimax,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,8,22.2,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,-30.83,-67.92,NA,Bozinovic_&_Contreras_1990,1,Chordata,Mammalia,Rodentia,Octodontidae,,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Ocymyrmex,barbiger,15,51.4,ctmax,0.2,SE,N,NA,NA,,NA,NA,NA,F,1,-23.08,15.37,10,Marsh_1985,1,15,12.1,ctmin,0.2,SE,N,NA,NA,NA,,NA,NA,NA,F,1,-23.08,15.37,10,Marsh_1985,1,Arthropoda,Insecta,Hymenoptera,Formicidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,10,10
Ocymyrmex,velox,23,54.1,ctmax,0.5,SE,N,NA,NA,,NA,NA,NA,,1,-24,15.94,10,Wehner_&_Wehner_2011,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,10
Odontoponera,sp.1,NA,39.85,ctmax,NA,,N,NA,NA,,NA,NA,NA,25,0.2,29.64,-81.64,6,Diamond_et_al_2012,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,6
Oedothorax,apicatus,10,40.8,ctmax,0.6,SD,N,NA,NA,,NA,NA,NA,15,0.5,55.4,14.19,3,Almquist_1970,1,86,-7.5,LT50,,,N,NA,NA,NA,,NA,NA,NA,4,0.02,55.4,14.19,3,Almquist_1970,1,Arthropoda,Arachnida,Araneae,Linyphiidae,,Terrestrial,Terrestrial,Terrestrial,37,ectotherm,Terrestrial,3,3
Olea,africana,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,5,-8.9,LT50,,,N,NA,NA,NA,,NA,NA,NA,F,NA,NA,NA,NA,Bannister_&_Lord_2010,2,Streptophyta,Spermatophyta,Lamiales,Oleaceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,NA,NA
Oligocottus,maculosus,2000,25.8,LT50,NA,,N,NA,NA,,NA,NA,NA,,NA,43.36,-124.21,0,"Morris_1960_in_Brett_1970, Morris_1960",1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Actinopteri,Perciformes,Cottidae,,NA,NA,NA,NA,ectotherm,NA,NA,0
