Genus,Species,N,Tmax,max_metric,error,error.measure,Multiple.measures,max_interval_after_LT0,Tmax_2,max_metric_2,error.1,error.measure.1,max_interval_before_LT100,max_pretreatment,max_ramp,lat_max,long_max,elevation_max,REF_max,location_max,N.1,tmin,min_metric,error.2,error_type,Multiple.measures_min,min_interval_after_LT0,N.2,tmin_2,min_metric_2,error.3,error_type.1,min_interval_before_LT100,min_pretreatment,ramp_min,lat_min,long_min,elevation_min,REF_min,location_min,Phylum,Class,Order,Family,Quality.of.UTNZ,Realm,Realm.1,Realm.2,max_pretreatmentnum,thermy,realm,elevation_min_0,elevation_max_0
Abrotanella,patearoa,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,3,-7.5,LT50,,,N,NA,NA,NA,,NA,NA,NA,F,0.083,-45.4,170.1,1240,Bannister_et_al_2005,1,Streptophyta,Spermatophyta,Asterales,Asteraceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,1240,NA
Abrothrix,andinus,8,34,UTNZ,NA,,N,NA,NA,,NA,NA,NA,,NA,-34.46,-71.22,NA,Bozinovic_&_Rosenmann_1988,2,8,26.8,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,-34.46,-71.22,NA,Bozinovic_&_Rosenmann_1988,2,Chordata,Mammalia,Rodentia,Cricetidae,1,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Abrothrix,longipilis,5,32,UTNZ,NA,,N,NA,NA,,NA,NA,NA,,NA,-45.54,-71.22,NA,Bozinovic_&_Rosenmann_1988,2,5,27.3,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,-45.54,-71.22,NA,Bozinovic_&_Rosenmann_1988,2,Chordata,Mammalia,Rodentia,Cricetidae,1,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Abrothrix,olivaceus,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,6,26.3,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,-34.46,-71.23,NA,Bozinovic_&_Rosenmann_1988,2,Chordata,Mammalia,Rodentia,Cricetidae,,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Acacia,melanoxylon,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,5,-7.9,LT50,,,N,NA,NA,NA,,NA,NA,NA,F,NA,NA,NA,NA,Bannister_&_Lord_2010,2,Streptophyta,Spermatophyta,Fabales,Fabaceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,NA,NA
Acanthodactylus,erythrurus,9,46.3,ctmax,0.65,SE,N,NA,NA,,NA,NA,NA,35,1,36.97,-2.4,585,Bauwens_et_al_1995,2,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Lepidosauria,Squamata,Lacertidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,585
Acanthomyops,sp.1,NA,40,ctmax,NA,,N,NA,NA,,NA,NA,NA,25,0.2,36.04,-79.07,180,Diamond_et_al_2012,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,180
Acca,sellowiana,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,5,-12.5,LT50,,,N,NA,NA,NA,,NA,NA,NA,F,NA,NA,NA,NA,Bannister_&_Lord_2010,2,Streptophyta,Spermatophyta,Myrtales,Myrtaceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,NA,NA
Acer,saccharum,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,4,-39,LT50,,,N,NA,NA,NA,,NA,NA,NA,,NA,43.04,-73,340,Gurney_et_al_2011,1,Streptophyta,Spermatophyta,Sapindales,Aceraceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,340,NA
Aceros,plicatus,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,2,16,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,-5,144.28,NA,McNab_2001,1,Chordata,Aves,Bucerotiformes,Bucerotidae,,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Achillea,millefolium,6,41.5,ct50,NA,,N,NA,NA,,NA,NA,NA,,0.5,40.3,-3.7,600,Godoy_et_al_2011,2,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Streptophyta,Spermatophyta,Asterales,Asteraceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,NA,600
Aciphylla,hectorii,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,3,-8.4,LT50,,,N,NA,NA,NA,,NA,NA,NA,F,0.083,-45.4,170.1,1240,Bannister_et_al_2005,1,Streptophyta,Spermatophyta,Apiales,Apiaceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,1240,NA
Ackama,rosifolia,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,5,-5.8,LT50,,,N,NA,NA,NA,,NA,NA,NA,F,NA,-45.9,170.5,70,Bannister_&_Lord_2010,1,Streptophyta,Spermatophyta,Oxalidales,Cunoniaceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,70,NA
Acmadenia,heterophylla,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,5,-4.9,LT50,,,N,NA,NA,NA,,NA,NA,NA,F,NA,NA,NA,NA,Bannister_&_Lord_2010,2,Streptophyta,Spermatophyta,Sapindales,Rutaceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,NA,NA
Acmena,smithii,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,5,-4.4,LT50,,,N,NA,NA,NA,,NA,NA,NA,F,NA,NA,NA,NA,Bannister_&_Lord_2010,2,Streptophyta,Spermatophyta,Myrtales,Myrtaceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,NA,NA
Acmispon,glaber,10,53.2,ctmax,NA,,N,NA,NA,,NA,NA,NA,F,NA,33.5,-117.1,375,Knight_&_Ackerly_2002,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Streptophyta,Spermatophyta,Fabales,Fabaceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,NA,375
Acomys,cahirinus,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,6,27,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,30.03,35.02,NA,Shkolnik_&_Borut_1969,2,Chordata,Mammalia,Rodentia,Muridae,,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Acomys,Russatus,7,37,UTNZ,NA,,N,NA,NA,,NA,NA,NA,28,NA,31.46,35.38,NA,Haim_&_Borut_1981,1,7,33,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,28,NA,31.46,35.38,NA,Haim_&_Borut_1981,1,Chordata,Mammalia,Rodentia,Muridae,1,Terrestrial,Terrestrial,Terrestrial,32,endotherm,Terrestrial,NA,NA
Acontias,meleagris,5,41,ctmax,0.4,SE,N,NA,NA,,NA,NA,NA,,1,-33.1,18.03,30,Withers_1981,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Lepidosauria,Squamata,Scincidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,30
Acradenia,frankliniae,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,5,-8.1,LT50,,,N,NA,NA,NA,,NA,NA,NA,F,NA,-41.7,145.1,300,Bannister_&_Lord_2010,2,Streptophyta,Spermatophyta,Sapindales,Rutaceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,300,NA
Acridotheres,cristatellus,8,32.5,UTNZ,NA,,N,NA,NA,,NA,NA,NA,F,NA,27.29,120.51,NA,Lin_et_al_2010,1,8,25,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,F,NA,27.29,120.51,NA,Lin_et_al_2010,1,Chordata,Aves,Passeriformes,Sturnidae,1,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Acris,crepitans,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,55,-1,LT50,,,N,NA,NA,NA,,NA,NA,NA,23,NA,29.95,-90.08,304.8,Brattstrom_1968,1,Chordata,Amphibia,Anura,Hylidae,,Terrestrial,Terrestrial,Terrestrial,25,ectotherm,Terrestrial,304.8,NA
Acrobates,pygmaeus,17,35.1,UTNZ,NA,,N,NA,NA,,NA,NA,NA,20,NA,-37.57,145.33,NA,Fleming_1985,1,17,34,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,20,NA,-37.57,145.33,NA,Fleming_1985,1,Chordata,Mammalia,Diprotodontia,Acrobatidae,2,Terrestrial,Terrestrial,Terrestrial,18,endotherm,Terrestrial,NA,NA
Adelotus,brevis,8,31.2,ctmax,NA,,N,NA,NA,,NA,NA,NA,5,1,-33.43,151.35,304.8,Brattstrom_1970,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Amphibia,Anura,Myobatrachidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,304.8
Adenandra,uniflora,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,5,-4.6,LT50,,,N,NA,NA,NA,,NA,NA,NA,F,NA,NA,NA,NA,Bannister_&_Lord_2010,2,Streptophyta,Spermatophyta,Sapindales,Rutaceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,NA,NA
Adenostoma,fasciculatum,10,64.1,ctmax,NA,,N,NA,NA,,NA,NA,NA,F,NA,33.5,-117.1,375,Knight_&_Ackerly_2002,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Streptophyta,Spermatophyta,Rosales,Rosaceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,NA,375
Aegolius,acadicus,2,32,UTNZ,NA,,N,NA,NA,,NA,NA,NA,23,NA,42.28,-83.74,NA,Ligon_1969,1,2,24,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,23,NA,42.28,-83.74,NA,Ligon_1969,1,Chordata,Aves,Strigiformes,Strigidae,1,Terrestrial,Terrestrial,Terrestrial,25,endotherm,Terrestrial,NA,NA
Aegolius,funereus,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,10,10,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,64.48,24.38,NA,Hohtola_et_al_1994,1,Chordata,Aves,Strigiformes,Strigidae,,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Aegopodium,podagraria,10,45.4,LT50,NA,,Y,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,Bilger_et_al_1984,3,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Streptophyta,Spermatophyta,Apiales,Apiaceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,NA,NA
Aegotheles,cristatus,7,34.8,UTNZ,NA,,N,NA,NA,,NA,NA,NA,F,NA,-30.35,151.45,1000,Doucette_&_Geiser_2008,1,6,31.3,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,F,NA,-30.35,151.45,1000,Doucette_&_Geiser_2008,1,Chordata,Aves,Caprimulgiformes,Aegothelidae,1,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,1000,1000
Aenictus,sp.1,NA,43.75,ctmax,NA,,N,NA,NA,,NA,NA,NA,25,0.2,4.05,114.81,0,Diamond_et_al_2012,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,0
Aepyprymnus,rufescens,4,33,UTNZ,NA,,N,NA,NA,,NA,NA,NA,22,NA,-28.92,152.37,NA,R<9f>bsamen_et_al_1983,1,4,25,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,22,NA,-28.92,152.37,NA,R<9f>bsamen_et_al_1983,1,Chordata,Mammalia,Diprotodontia,Potoroidae,2,Terrestrial,Terrestrial,Terrestrial,23,endotherm,Terrestrial,NA,NA
Aethomys,namaquensis,15,34.49,UTNZ,NA,,N,NA,NA,,NA,NA,NA,,NA,-23.48,15.5,NA,Buffenstein_1984,1,15,26.39,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,-23.48,15.5,NA,Buffenstein_1984,1,Chordata,Mammalia,Rodentia,Muridae,1,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Afrinus,sp.1,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,15,-6.8,LT50,0.1,SE,N,NA,NA,NA,,NA,NA,NA,6,0.1,-32.4,20.5,1550,Sinclair_&_Chown_2005,1,Arthropoda,Insecta,Coleoptera,Tenebrionidae,,Terrestrial,Terrestrial,Terrestrial,39,ectotherm,Terrestrial,1550,NA
Agabus,brunneus,20,46.4,LT100,NA,,N,NA,NA,,NA,NA,NA,20.5,1,36,-6.3,135,Calosi_et_al_2008,1,21,-8.5,LT100,,,N,NA,NA,NA,,NA,NA,NA,14.5,1,36,-6.3,135,Calosi_et_al_2008,1,Arthropoda,Insecta,Coleoptera,Dytiscidae,,Freshwater,Freshwater,Terrestrial,8,ectotherm,Freshwater,135,135
Agabus,didymus,33,44.8,LT100,NA,,N,NA,NA,,NA,NA,NA,20.5,1,38,-2.56,1224,Calosi_et_al_2008,1,30,-9,LT100,,,N,NA,NA,NA,,NA,NA,NA,14.5,1,38,-2.56,1224,Calosi_et_al_2008,1,Arthropoda,Insecta,Coleoptera,Dytiscidae,,Freshwater,Freshwater,Terrestrial,8,ectotherm,Freshwater,1224,1224
Agabus,ramblae,25,44.5,LT100,NA,,N,NA,NA,,NA,NA,NA,20.5,1,37.5,-1.9,533,Calosi_et_al_2008,1,24,-6.8,LT100,,,N,NA,NA,NA,,NA,NA,NA,14.5,1,37.5,-1.9,533,Calosi_et_al_2008,1,Arthropoda,Insecta,Coleoptera,Dytiscidae,,Freshwater,Freshwater,Terrestrial,8,ectotherm,Freshwater,533,533
Agabus,rufulus,20,43.1,LT100,NA,,N,NA,NA,,NA,NA,NA,20.5,1,40.5,8.5,260,Calosi_et_al_2008,1,22,-8,LT100,,,N,NA,NA,NA,,NA,NA,NA,14.5,1,40.5,8.5,260,Calosi_et_al_2008,1,Arthropoda,Insecta,Coleoptera,Dytiscidae,,Freshwater,Freshwater,Terrestrial,8,ectotherm,Freshwater,260,260
Agelaius,phoeniceus,24,40,UTNZ,NA,,N,NA,NA,,NA,NA,NA,F,NA,42.5,-82.48,NA,Lewies_&_Dwyer_1969,1,24,27.5,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,F,NA,42.5,-82.48,NA,Lewies_&_Dwyer_1969,1,Chordata,Aves,Passeriformes,Icteridae,1,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Agkistrodon,contortrix,10,40.6,ctmax,0.45,SE,Y,NA,NA,,NA,NA,NA,,NA,35.33,-90.07,78,Sanders_&_Jacob_1981,1,10,6.9,ctmin,,,N,NA,NA,NA,,NA,NA,NA,,NA,35.33,-90.07,78,Sanders_&_Jacob_1981,1,Chordata,Lepidosauria,Squamata,Viperidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,78,78
Agonis,flexuosa,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,5,-4.4,LT50,,,N,NA,NA,NA,,NA,NA,NA,F,NA,NA,NA,NA,Bannister_&_Lord_2010,2,Streptophyta,Spermatophyta,Myrtales,Myrtaceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,NA,NA
Agosia,chrysogaster,12,38.2,ctmax,NA,,Y,NA,NA,,NA,NA,NA,25,0.3,33,-111,1000,Carveth_et_al_2006,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,,Freshwater,Freshwater,Terrestrial,NA,ectotherm,Freshwater,NA,1000
Agouti,paca,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,2,28,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,11,-69.6,NA,Arends_&_McNab_2001,1,Chordata,Mammalia,Rodentia,Cuniculidae,,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Agroeca,proxima,10,37.4,ctmax,0.4,SD,N,NA,NA,,NA,NA,NA,15,0.5,55.4,14.19,3,Almquist_1970,1,81,-6.7,LT50,,,N,NA,NA,NA,,NA,NA,NA,4,0.02,55.4,14.19,3,Almquist_1970,1,Arthropoda,Arachnida,Araneae,Liocranidae,,Terrestrial,Terrestrial,Terrestrial,37,ectotherm,Terrestrial,3,3
Ailurus,fulgens,2,36,UTNZ,NA,,N,NA,NA,,NA,NA,NA,,NA,33.1,103.27,NA,McNab_1988,3,2,25,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,33.1,103.27,NA,McNab_1988,3,Chordata,Mammalia,Carnivora,Ailuridae,1,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Akodon,azarae,8,32,UTNZ,NA,,N,NA,NA,,NA,NA,NA,,NA,-37.8,-58.3,NA,Dalby_&_Heath_1976,1,8,30,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,-37.8,-58.3,NA,Dalby_&_Heath_1976,1,Chordata,Mammalia,Rodentia,Cricetidae,1,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Alaemon,alaudipes,7,37.5,UTNZ,NA,,N,NA,NA,,NA,NA,NA,F,NA,22.15,41.5,NA,Tieleman_2002,1,7,32.7,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,F,NA,22.15,41.5,NA,Tieleman_2002,1,Chordata,Aves,Passeriformes,Alaudidae,2,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Alauda,arvensis,15,35.1,UTNZ,NA,,N,NA,NA,,NA,NA,NA,F,NA,52.52,6.2,NA,Tieleman_2002,1,15,22.2,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,F,NA,52.52,6.2,NA,Tieleman_2002,1,Chordata,Aves,Passeriformes,Alaudidae,2,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Alcedo,azurea,23,34,UTNZ,NA,,N,NA,NA,,NA,NA,NA,,NA,-5.22,145.79,NA,McNab_2013,1,23,19,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,-5.22,145.79,NA,McNab_2013,1,Chordata,Aves,Coraciiformes,Alcedinidae,1,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Alcolapia,grahami,NA,40,LT100,NA,,N,NA,NA,,NA,NA,NA,,NA,-1.9,36.2,650,Reite_et_al_1974,1,5,16,LT100,,,N,NA,NA,NA,,NA,NA,NA,,NA,-1.9,36.2,650,Reite_et_al_1974,1,Chordata,Actinopteri,Perciformes,Cichlidae,,Freshwater,Freshwater,Terrestrial,NA,ectotherm,Freshwater,650,650
Alectoria,ochroleuca,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,-8.1,ctmin,,,N,NA,NA,NA,,NA,NA,NA,,NA,46.8,10.9,2300,Lange_1965,1,Ascomycota,Lecanoromycetes,Lecanorineae,Parmeliaceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,2300,NA
Alectoris,chukar,28,38.5,UTNZ,NA,,N,NA,NA,,NA,NA,NA,,NA,30.86,34.76,476,Frumkin_et_al_1986,1,28,28,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,30.86,34.76,476,Frumkin_et_al_1986,1,Chordata,Aves,Galliformes,Phasianidae,1,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,476,476
Alle,alle,23,20,UTNZ,NA,,N,NA,NA,,NA,NA,NA,F,NA,79,-11,NA,Gabrielsen_et_al_1991,1,23,4.5,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,F,NA,79,-11,NA,Gabrielsen_et_al_1991,1,Chordata,Aves,Charadriiformes,Alcidae,1,Marine,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Alosa,pseudoharengus,5,32.8,ctmax,NA,,N,NA,NA,,NA,NA,NA,25,0.3,42.4,-87.8,180,Otto_et_al_1976,1,5,6,LT50,,,N,NA,NA,NA,,NA,NA,NA,21,NA,42.4,-87.8,180,Otto_et_al_1976,1,Chordata,Actinopteri,Clupeiformes,Clupeidae,,Freshwater,Marine,Marine,20,ectotherm,Freshwater,180,180
Alyxia,buxifolia,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,5,-7.8,LT50,,,N,NA,NA,NA,,NA,NA,NA,F,NA,NA,NA,NA,Bannister_&_Lord_2010,2,Streptophyta,Spermatophyta,Gentianales,Apocynaceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,NA,NA
Amblyopone,pallipes,NA,40,ctmax,NA,,N,NA,NA,,NA,NA,NA,25,0.2,35.78,-78.8,146,Diamond_et_al_2012,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,146
Ambystoma,jeffersonianum,16,34,ctmax,0.06,SD,N,NA,NA,,NA,NA,NA,10,NA,40.23,-76.85,422.2,Gatz_1971,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Amphibia,Caudata,Ambystomatidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,422.2
Ambystoma,macrodactylum,NA,35,ctmax,0.8,SD,N,NA,NA,,NA,NA,NA,20,0.5,44.9,-117.22,1140,Howard_et_al_1983,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Amphibia,Caudata,Ambystomatidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,1140
Ambystoma,maculatum,15,38.5,ctmax,0.3,SD,N,NA,NA,,NA,NA,NA,15,NA,35.55,-91.62,184,Sealander_1969,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Amphibia,Caudata,Ambystomatidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,184
Ameiurus,melas,7,38.1,ctmax,0.39,SD,N,NA,NA,,NA,NA,NA,26,0.017,39,-91,150,Smale_&_Rabeni_1995,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Actinopteri,Siluriformes,Ictaluridae,,Freshwater,Freshwater,Terrestrial,NA,ectotherm,Freshwater,NA,150
Ameiurus,natalis,7,37.9,ctmax,0.44,SD,N,NA,NA,,NA,NA,NA,26,0.017,39.5,-91.5,200,Smale_&_Rabeni_1995,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Actinopteri,Siluriformes,Ictaluridae,,Freshwater,Freshwater,Terrestrial,NA,ectotherm,Freshwater,NA,200
Ameiva,festiva,20,43.7,ctmax,0.22,SE,N,NA,NA,,NA,NA,NA,,1,10.5,-84,50,vanBerkum_1988,1,20,15.5,ctmin,0.42,SE,N,NA,NA,NA,,NA,NA,NA,,1,10.5,-84,50,vanBerkum_1988,1,Chordata,Lepidosauria,Squamata,Teiidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,50,50
Ameiva,quadrilineata,35,45.1,ctmax,0.17,SD,N,NA,NA,,NA,NA,NA,F,NA,10.57,-83.53,27,Hirth_1963,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Lepidosauria,Squamata,Teiidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,27
Ammoperdix,heyi,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,36,30,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,30.86,34.76,476,Frumkin_et_al_1986,1,Chordata,Aves,Galliformes,Phasianidae,,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,476,NA
Ammospermophilus,leucurus,12,34,UTNZ,NA,,N,NA,NA,,NA,NA,NA,,NA,34.6,-117.85,NA,Dawson_1955,1,12,31,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,34.6,-117.85,NA,Dawson_1955,1,Chordata,Mammalia,Rodentia,Sciuridae,1,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Amphibolurus,muricatus,2,42.3,ctmax,NA,,N,NA,NA,,NA,NA,NA,,NA,-30.52,151.65,1013,Spellerberg_1972a,2,2,3,ctmin,,,N,NA,NA,NA,,NA,NA,NA,,NA,-30.52,151.65,1013,Spellerberg_1972a,2,Chordata,Lepidosauria,Squamata,Agamidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,1013,1013
Amphispiza,belli,9,37,UTNZ,NA,,N,NA,NA,,NA,NA,NA,20,NA,43.5,-121.08,NA,Moldenhauer_1970,1,9,28,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,20,NA,43.5,-121.08,NA,Moldenhauer_1970,1,Chordata,Aves,Passeriformes,Fringillidae,1,Terrestrial,Terrestrial,Terrestrial,18,endotherm,Terrestrial,NA,NA
Amphispiza,bilineata,8,36,UTNZ,NA,,N,NA,NA,,NA,NA,NA,25,NA,38.33,-119.64,NA,Weathers_1981,2,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Aves,Passeriformes,Fringillidae,1,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Anagyris,foetida,6,44.5,ct50,NA,,N,NA,NA,,NA,NA,NA,,0.5,40.3,-3.7,600,Godoy_et_al_2011,2,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Streptophyta,Spermatophyta,Fabales,Fabaceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,NA,600
Anaptychia,leucomelaena,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,-7.5,ctmin,,,N,NA,NA,NA,,NA,NA,NA,,NA,4.2,9.2,2000,Lange_1965,1,Ascomycota,Lecanoromycetes,Caliciales,Physciaceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,2000,NA
