"longitude","latitude","elev_dif"
-77.5,83.5,1.62766060484379
-76.5,83.5,11.5672742653502
-75.5,83.5,4.70542100071907
-74.5,83.5,5.53907111375075
-73.5,83.5,1.25576826671345
-72.5,83.5,19.2826129716511
-71.5,83.5,9.79872822196275
-70.5,83.5,22.1873745087327
-46.5,83.5,1.77610676445248
-45.5,83.5,18.3641147300692
-44.5,83.5,38.1067232287185
-43.5,83.5,59.2058109749762
-42.5,83.5,31.7028125178897
-41.5,83.5,39.925216906898
-40.5,83.5,44.4905513077344
-39.5,83.5,56.8604814253825
-38.5,83.5,142.379705280454
-37.5,83.5,175.01652999918
-36.5,83.5,169.283211566081
-35.5,83.5,162.37391595708
-34.5,83.5,190.982265065916
-33.5,83.5,166.721706129611
-32.5,83.5,143.19948510986
-31.5,83.5,174.357794598211
-30.5,83.5,135.356965213354
-29.5,83.5,122.387061338962
-28.5,83.5,116.403089978409
-27.5,83.5,103.145066094171
-26.5,83.5,44.2173653885515
-88.5,82.5,3.470052059507
-86.5,82.5,52.0983205293305
-85.5,82.5,73.5045877891987
-84.5,82.5,106.175035006186
-83.5,82.5,110.608789479981
-82.5,82.5,163.975725209615
-81.5,82.5,233.563978702541
-80.5,82.5,292.170673929207
-79.5,82.5,334.669269890214
-78.5,82.5,251.62033472593
-77.5,82.5,230.428487297295
-76.5,82.5,282.94775358691
-75.5,82.5,276.825589481327
-74.5,82.5,217.657159805298
-73.5,82.5,259.32330506696
-72.5,82.5,253.303657770157
-71.5,82.5,224.792995724413
-70.5,82.5,306.15533847279
-69.5,82.5,313.170842594571
-68.5,82.5,263.859635819991
-67.5,82.5,221.015488548406
-66.5,82.5,193.317209091619
-65.5,82.5,175.124031914379
-64.5,82.5,136.577838972677
-63.5,82.5,117.254627618115
-62.5,82.5,89.9362411492119
-61.5,82.5,40.2962497969468
-59.5,82.5,17.9071401059628
-58.5,82.5,25.6735114104878
-57.5,82.5,39.1031041410234
-56.5,82.5,37.5762799458397
-55.5,82.5,51.7881074853924
-54.5,82.5,40.8835247762812
-53.5,82.5,42.5681114693871
-52.5,82.5,8.0791232831802
-51.5,82.5,52.98291653255
-50.5,82.5,83.9296877287488
-49.5,82.5,55.4558503020267
-48.5,82.5,26.5239452449573
-47.5,82.5,97.6313325042979
-46.5,82.5,147.728644876264
-45.5,82.5,187.061957462043
-44.5,82.5,227.84094947957
-43.5,82.5,239.339116833118
-42.5,82.5,225.854818378523
-41.5,82.5,198.803332960026
-40.5,82.5,203.840186426416
-39.5,82.5,232.761570847697
-38.5,82.5,193.52499071757
-37.5,82.5,156.701139662001
-36.5,82.5,264.963719367981
-35.5,82.5,247.787353518936
-34.5,82.5,262.52446195566
-33.5,82.5,291.759362644619
-32.5,82.5,244.055054452684
-31.5,82.5,214.013353131711
-30.5,82.5,170.040499041348
-29.5,82.5,155.525328744875
-28.5,82.5,139.255867485754
-27.5,82.5,146.385631879171
-26.5,82.5,162.459409834377
-25.5,82.5,112.62151455918
-24.5,82.5,77.5998395441865
-23.5,82.5,50.6311461238397
-22.5,82.5,32.2717227711756
-20.5,82.5,0
-93.5,81.5,23.1217361509205
-92.5,81.5,37.486371882234
-91.5,81.5,34.7690713546585
-90.5,81.5,41.7934241935323
-89.5,81.5,114.136666330816
-88.5,81.5,165.216988325119
-87.5,81.5,200.235290080723
-86.5,81.5,240.20560483055
-85.5,81.5,284.200037447076
-84.5,81.5,304.873641981019
-83.5,81.5,316.843820518917
