"longitude","latitude","seasonal_high_temp","hot_dormancy_1","hot_dormancy_2","hot_dormancy_3"
-179.5,-89.5,-22.9331879993901,-44.2594585587404,-45.1415329898159,-45.3375000952364
-179.5,-88.5,-25.0284589535424,-44.6433233912163,-45.4697532980437,-45.639422937589
-179.5,-87.5,-24.3180902625301,-42.408225826861,-43.2084954322094,-43.3522144215866
-179.5,-86.5,-22.1367508988295,-39.0528081870311,-39.814042261989,-39.9656637210371
-179.5,-85.5,-19.1099363999707,-35.1341187183019,-35.8541001147225,-35.9942397009017
-179.5,-84.5,-6.73090626570754,-22.3302594397169,-23.0146542733827,-23.1495677470265
-179.5,-83.5,-2.37268906479169,-18.6752108872019,-19.394578639324,-19.533536394721
-179.5,-82.5,-3.38404430172273,-20.7448044311132,-21.4849416628916,-21.6235044697479
-179.5,-81.5,-4.08280007307019,-22.1049703487001,-22.8870900010247,-23.0204791670569
-179.5,-80.5,-4.30652213068679,-22.5693761289991,-23.3512339430083,-23.4804234184992
-179.5,-79.5,-3.81621408890933,-21.7682599887049,-22.4824611350037,-22.6241966409506
-179.5,-78.5,-2.68669302569968,-20.8945539313358,-21.6245406228151,-21.7628888980044
-179.5,65.5,4.91677633414843,0.285873834092122,-0.61864281007713,-0.967055340714398
-179.5,66.5,3.69667094557413,-1.23377385157366,-2.32793858724957,-2.72455602710446
-179.5,67.5,2.28268366094146,-2.96711964621314,-3.97278889987751,-4.36159314124712
-179.5,68.5,0.968383750053389,-4.18899427807902,-5.16130633439337,-5.53712796955369
-179.5,70.5,-1.33093775510788,-5.67492548835936,-6.28352627104947,-6.70463870687895
-179.5,71.5,-1.39007195021425,-5.70257127333384,-6.46687264451859,-6.85214828016857
-178.5,-89.5,-22.9235164396199,-44.2372545771301,-45.1183914663476,-45.3143338085367
-178.5,-88.5,-25.0637794544122,-44.6229409441207,-45.4447648723762,-45.6129501399067
-178.5,-87.5,-24.3451978148094,-42.3149532075633,-43.1145875895307,-43.2515951048688
-178.5,-86.5,-22.1847720165338,-38.9283988457415,-39.6775348781572,-39.8233692102721
-178.5,-85.5,-17.9938703379228,-33.7282226276282,-34.4403525346066,-34.5771625769361
-178.5,-84.5,-6.55740731342563,-21.8324430865514,-22.5001021420583,-22.6254284081507
-178.5,-83.5,-2.6147982022592,-18.6789139534418,-19.4160677879366,-19.5319562432672
-178.5,-82.5,-3.62831643340843,-20.8780581772327,-21.6164319523394,-21.7483829075274
-178.5,-81.5,-4.26742096628462,-22.2245685244,-23.0107922229738,-23.1438070016266
-178.5,-80.5,-4.47229669807213,-22.6853949049851,-23.4497688017202,-23.5777450759407
-178.5,-79.5,-3.99903621100155,-21.8764692957823,-22.5862215195137,-22.7230046118184
-178.5,-78.5,-2.82307069940226,-21.1277376160938,-21.8566965938842,-21.992408784847
-178.5,65.5,4.74456388357628,0.462470975498875,-0.594731812726478,-0.910070367015543
-178.5,66.5,3.78142397836117,-1.20277793082248,-2.2405756367814,-2.61100649004098
-178.5,67.5,2.72653630929334,-2.59900697407784,-3.53512066160585,-3.90843429043889
-178.5,68.5,1.48144489420312,-3.48577247638642,-4.47522135949754,-4.86480124809203
-178.5,71.5,-1.29451558882637,-5.58568403531205,-6.33798497679111,-6.70547441721317
-177.5,-89.5,-22.9214361171903,-44.2112760327402,-45.0908849088865,-45.2865493599739
-177.5,-88.5,-25.1108454031071,-44.5961690128043,-45.411622020587,-45.5810094423237
-177.5,-87.5,-24.3353946154139,-42.194814107151,-42.9912382156189,-43.1227083346447
-177.5,-86.5,-22.184324065383,-38.7677886560075,-39.5047910119934,-39.6470624008801
-177.5,-85.5,-15.517386944276,-31.0520098228733,-31.7499668570062,-31.880395529495
-177.5,-84.5,-5.92595574664218,-20.9566044161072,-21.61571849889,-21.7335171137093
-177.5,-83.5,-2.7900600529675,-18.709248893708,-19.4449924325659,-19.5618914653461
-177.5,-82.5,-3.79353187903762,-21.040192083605,-21.7778393249265,-21.9125268317745
-177.5,-81.5,-4.41180594116449,-22.3500037955531,-23.1313579508012,-23.2664373754391
-177.5,-80.5,-4.60036563838034,-22.7878712165665,-23.5397970219037,-23.6633293580394
-177.5,-79.5,-4.16863818881767,-22.0112394490945,-22.6984250300803,-22.8485039973867
