"Genus","Species","type","thermal_limit","metric","collection_latitude","absolute_latitude","collection_longitude","elevation","acclimation_temperature","start_temp","ramping_rate","exposure_duration","Phylum","Class","Order","Family","realm","thermy","genus_species","reference","extreme_enviro_temp","acclimation_offset"
"Acanthodactylus","erythrurus","max",46.3,"ct",36.97,36.97,-2.4,585,35,32.5,1,NA,"Chordata","Lepidosauria","Squamata","Lacertidae","Terrestrial","ectotherm","Acanthodactylus_erythrurus","Bauwens_et_al_1995",31.66473579,3.33526421
"Acar","domingensis","max",39,"ct",-7.89,7.89,-14.38,0,26,26.1,0.017,NA,"Mollusca","Bivalvia","Arcoida","Arcidae","Marine","ectotherm","Acar_domingensis","Morley_et_al_2016",29.18999863,-3.18999863
"Acontias","meleagris","max",41,"ct",-33.1,33.1,18.03,30,NA,20,1,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Acontias_meleagris","Withers_1981",28.90424347,NA
"Acris","crepitans","min",-1,"LT50",29.95,29.95,NA,304.8,23,NA,NA,24,"Chordata","Amphibia","Anura","Hylidae","Terrestrial","ectotherm","Acris_crepitans","Brattstrom_1968",NA,NA
"Adamussium","colbecki","max",2,"ct",-67.5,67.5,-68,0,NA,0,0.00017,NA,"Mollusca","Bivalvia","Pectinoida","Pectinidae","Marine","ectotherm","Adamussium_colbecki","Peck_et_al_2004",1.350000024,NA
"Adelotus","brevis","max",31.2,"ct",-33.43,33.43,151.35,304.8,5,20,1,NA,"Chordata","Amphibia","Anura","Myobatrachidae","Terrestrial","ectotherm","Adelotus_brevis","Brattstrom_1970",25.52132607,-20.52132607
"Agkistrodon","contortrix","max",40.6,"ct",35.33,35.33,-90.07,78,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Viperidae","Terrestrial","ectotherm","Agkistrodon_contortrix","Sanders_&_Jacob_1981",33.58058929,NA
"Agkistrodon","contortrix","min",6.9,"ct",35.33,35.33,-90.07,78,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Viperidae","Terrestrial","ectotherm","Agkistrodon_contortrix","Sanders_&_Jacob_1981",-1.961768508,NA
"Agroeca","proxima","max",37.4,"ct",55.4,55.4,14.19,3,15,15,0.5,NA,"Arthropoda","Arachnida","Araneae","Liocranidae","Terrestrial","ectotherm","Agroeca_proxima","Almquist_1970",20.58191681,-5.58191681
"Agroeca","proxima","min",-6.7,"LT50",55.4,55.4,14.19,3,4,0.02,NA,72,"Arthropoda","Arachnida","Araneae","Liocranidae","Terrestrial","ectotherm","Agroeca_proxima","Almquist_1970",-1.632228255,5.632228255
