"longitude","latitude","seasonal_low_temp","cold_dormancy_6mo","hot_dormancy_6mo"
23.5,-28.5,13.1422280674534,14.3144042838365,14.3144042838365
23.5,-27.5,13.8195706156748,14.8259660955252,14.8259660955252
23.5,-26.5,15.0978472068041,15.8943852648605,15.8943852648605
23.5,-25.5,16.049600029311,16.5383035392833,16.5383035392833
23.5,-24.5,16.1554544810066,16.628783875308,16.628783875308
23.5,-23.5,16.2550445099578,16.7551983759605,16.7171118461394
23.5,-22.5,16.7439021394147,17.4802871540721,17.2283327430886
23.5,-21.5,17.0908987665255,18.1041089172874,17.6235999111485
23.5,-20.5,17.2049414438189,18.5491106769336,17.7903514132436
23.5,-19.5,17.1410594028246,18.8208190756185,17.7530188365906
23.5,-18.5,16.8261122736464,18.6824775874615,17.4281616892466
23.5,-17.5,16.8239773642412,18.8410745075384,17.4237224679103
23.5,-16.5,16.8915103127186,18.5261768233563,17.441888745954
23.5,-15.5,16.8158792146005,18.0625422805016,17.2655363935711
23.5,-14.5,16.6157063651074,17.3874942776527,16.9274980952232
23.5,-13.5,16.2417894373263,16.5578246267246,16.4086139064814
23.5,-12.5,15.5045624568127,15.6251284752108,15.6251284752108
23.5,-11.5,15.5395059577056,16.0538282517876,16.0538282517876
23.5,-10.5,15.9645434870252,16.805817712258,16.805817712258
23.5,-9.5,16.3554338002844,17.4057700794456,17.4057700794456
23.5,-8.5,16.5417976402811,17.7791220044717,17.7791220044717
23.5,-7.5,17.2798566635166,18.7105052934427,18.7105052934427
23.5,-6.5,18.0128550286804,19.3930206536981,19.3930206536981
23.5,-5.5,18.6197164780859,19.8359114901118,19.8359114901118
23.5,-4.5,19.3699250180274,20.4148985380972,20.4148985380972
23.5,-3.5,19.5839208125004,20.4859524671254,20.4859524671254
23.5,-2.5,19.6809413486293,20.3321139708694,19.6809413486293
23.5,-1.5,19.7436565017594,20.1894191763098,19.7436565017594
23.5,-0.5,19.3052072852584,19.5906077262014,19.3052072852584
23.5,0.5,18.7770139767655,19.060399556905,18.7770139767655
23.5,1.5,18.2586712554097,18.6689091837566,18.2586712554097
23.5,2.5,18.0277899975572,18.5484019462219,18.0277899975572
23.5,3.5,17.8308586132314,18.4402733563446,18.4402733563446
23.5,4.5,17.9868106943422,18.6964718138699,18.6964718138699
23.5,5.5,18.3993573371853,19.2227723072017,19.2227723072017
23.5,6.5,18.6470511185271,19.6151942418755,19.6151942418755
23.5,7.5,18.7932658350361,19.9011342638388,19.9011342638388
23.5,8.5,18.8295916533364,20.035476737975,18.8295916533364
23.5,9.5,20.2087677594806,21.403227427349,20.2087677594806
23.5,10.5,21.300569690799,22.7205167283969,21.6328420731106
23.5,11.5,20.447664858454,22.6581895259808,20.447664858454
23.5,12.5,18.2045192052211,21.2942184908693,18.2045192052211
23.5,13.5,17.4884474674506,21.3074889436098,17.4884474674506
23.5,14.5,17.2580324509314,21.8126650676131,17.2580324509314
23.5,15.5,16.643142432613,21.9445394100555,21.9445394100555
23.5,16.5,15.7681593062622,21.8448543747266,21.8448543747266
23.5,17.5,14.4237767845392,21.2959449419663,21.2959449419663
23.5,18.5,13.7452348532421,21.2657605433837,21.2657605433837
23.5,19.5,13.0292015383286,21.0869404328567,21.0869404328567
23.5,20.5,12.0751980380355,20.6239676021173,20.6239676021173
23.5,21.5,11.2168918213408,20.170635235283,20.170635235283
23.5,22.5,10.1562177130154,19.4204914380547,19.4204914380547
23.5,23.5,9.02915025080188,18.5424026488726,18.5424026488726
23.5,24.5,8.08194898909756,17.8648008384343,17.8648008384343
23.5,25.5,7.52671354909294,17.4903958674919,17.4903958674919
23.5,26.5,7.7661681357239,17.7130407951639,17.7130407951639
23.5,27.5,7.97477934679815,17.872863846698,17.872863846698
23.5,28.5,7.84099703186325,17.6253186339246,17.6253186339246
23.5,29.5,7.57241447150175,17.1190541065697,17.1190541065697
23.5,30.5,7.00752018647534,15.8797242281593,15.8797242281593
23.5,31.5,6.26942622163998,14.4750767633385,14.4750767633385
23.5,32.5,5.96219414940902,11.3756512083246,11.3756512083246
23.5,35.5,3.24894173951886,9.91183854962167,9.91183854962167
23.5,37.5,1.28651507443615,8.57387702298085,8.57387702298085
23.5,38.5,-0.465866727275508,9.01197083293394,9.01197083293394
23.5,39.5,-0.178014657539981,7.64025185597794,7.64025185597794
23.5,40.5,-2.73855387419462,7.5840555728779,7.5840555728779
23.5,41.5,-6.40752499486719,5.21822738987726,5.21822738987726
23.5,42.5,-8.54030365488891,2.89210034449186,2.89210034449186
23.5,43.5,-8.77731493796621,3.44300797072771,3.44300797072771
23.5,44.5,-9.85318007064717,2.78886977766774,2.78886977766774
23.5,45.5,-11.8306673748286,0.398108128448283,0.398108128448283
23.5,46.5,-11.2585411854088,0.76237742688141,0.76237742688141
23.5,47.5,-11.2473716170993,0.84891958128927,0.84891958128927
23.5,48.5,-12.8916059929013,-0.639894830754825,-0.639894830754825
23.5,49.5,-11.847882527113,0.29389277747167,0.29389277747167
23.5,50.5,-11.0485287522099,0.84075387082994,0.84075387082994
23.5,51.5,-11.3139967347894,0.4209792194888,0.4209792194888
23.5,52.5,-12.0433077441795,-0.378235181846789,-0.378235181846789
23.5,53.5,-12.5953856032142,-0.774404292074697,-0.774404292074697
23.5,54.5,-12.869170024246,-1.13340823389648,-1.13340823389648
23.5,55.5,-13.1789921050093,-1.75652674613347,-1.75652674613347
