"longitude","latitude","seasonal_high_temp","hot_dormancy_6mo","cold_dormancy_6mo"
0.5,89.5,-1.79923072901483,-1.79923072901483,-1.79923072901483
0.5,88.5,-1.79923072901483,-1.79923072901483,-1.79923072901483
0.5,87.5,-1.71974355130433,-1.71974355130433,-1.71974355130433
0.5,86.5,-1.71666662829618,-1.71666662829618,-1.71666662829618
0.5,85.5,-1.70666662851969,-1.70666662851969,-1.70666662851969
0.5,84.5,-1.68102560345179,-1.68102560345179,-1.68102560345179
0.5,83.5,-1.5561538113711,-1.5561538113711,-1.5561538113711
0.5,82.5,-1.27999997138977,-1.27999997138977,-1.27999997138977
0.5,81.5,-0.686410241067792,-0.686410241067792,-0.686410241067792
0.5,80.5,0.274871788727931,0.274871788727931,0.274871788727931
0.5,79.5,1.52666663254301,1.52666663254301,1.52666663254301
0.5,78.5,2.7525640410395,2.7525640410395,2.7525640410395
0.5,77.5,3.83666658091048,3.83666658091048,3.83666658091048
0.5,76.5,4.55358964180908,4.55358964180908,4.55358964180908
0.5,75.5,4.89205117270541,4.89205117270541,4.89205117270541
0.5,74.5,5.54256397867814,5.54256397867814,5.54256397867814
0.5,73.5,6.47076908613627,6.47076908613627,6.47076908613627
0.5,72.5,7.47999983280897,7.47999983280897,7.47999983280897
0.5,71.5,8.3176921217774,8.3176921217774,8.3176921217774
0.5,70.5,9.18410235882187,9.18410235882187,9.18410235882187
0.5,69.5,9.93666644456486,9.93666644456486,9.93666644456486
0.5,68.5,10.5179484828542,10.5179484828542,10.5179484828542
0.5,67.5,10.9294869351941,10.9294869351941,10.9294869351941
0.5,66.5,11.3264100032453,11.3264100032453,11.3264100032453
0.5,65.5,11.6697433289045,11.6697433289045,11.6697433289045
0.5,64.5,11.9541022969075,11.9541022969075,11.9541022969075
0.5,63.5,12.2320510086436,12.2320510086436,12.2320510086436
0.5,62.5,12.5687176677852,12.5687176677852,12.5687176677852
0.5,61.5,12.9656407358364,12.9656407358364,12.9656407358364
0.5,60.5,13.386922777702,13.386922777702,13.386922777702
0.5,59.5,13.7228202060916,13.7228202060916,13.7228202060916
0.5,58.5,14.1333330174287,14.1333330174287,14.1333330174287
0.5,57.5,14.5882048021333,14.5882048021333,14.5882048021333
0.5,56.5,15.0017945364786,15.0017945364786,15.0017945364786
