"longitude","latitude","seasonal_low_temp","cold_dormancy_1","cold_dormancy_2","cold_dormancy_3"
0.5,89.5,-1.79948713926551,-1.79948713926551,-1.79948713926551,-1.79948713926551
0.5,88.5,-1.79948713926551,-1.79948713926551,-1.79948713926551,-1.79948713926551
0.5,87.5,-1.79153842149446,-1.79128201124378,-1.78999995999038,-1.78897431898767
0.5,86.5,-1.79897431876415,-1.79897431876415,-1.79897431876415,-1.79871790851347
0.5,85.5,-1.79948713926551,-1.79948713926551,-1.79923072901483,-1.79923072901483
0.5,84.5,-1.79948713926551,-1.79948713926551,-1.79923072901483,-1.79897431876415
0.5,83.5,-1.79948713926551,-1.79871790851347,-1.79769226751075,-1.79666662650804
0.5,82.5,-1.79948713926551,-1.78897431898767,-1.7861538062302,-1.77820508845915
0.5,81.5,-1.69205124423099,-1.65820509114136,-1.62128201504357,-1.58230765694036
0.5,80.5,-1.18615381964124,-1.13230766699864,-1.05999997630715,-1.01846151569715
0.5,79.5,-0.39564101679776,-0.337435889893617,-0.244871789398484,-0.174615380712427
0.5,78.5,0.387948709277388,0.464615374230421,0.574358961521051,0.653846139231553
0.5,77.5,0.806666648636262,0.906153825899729,1.01358972093425,1.09846151390901
0.5,76.5,0.643846139455071,0.755897419001812,0.855641006515958,0.965897414307946
0.5,75.5,-0.196666662270824,-0.0743589726969218,0.0843589724734043,0.211282046559529
0.5,74.5,-0.188717944499774,-0.0635897421684021,0.0797435879611816,0.186666662494342
0.5,73.5,0.605384601853215,0.665128190261431,0.733076906691377,0.791538443846198
0.5,72.5,1.86769226594613,1.89564098327015,1.95333328967293,2.00102559629923
0.5,71.5,3.05897429060095,3.12641018652954,3.22076915877943,3.2443589018419
0.5,70.5,4.27384605831825,4.36333323580523,4.43820502900351,4.57128194910594
0.5,69.5,5.14384603887223,5.22076911407594,5.31410244532312,5.48153833901653
0.5,68.5,5.48051269801381,5.52948705589351,5.64974346346198,5.857435766512
0.5,67.5,5.20641014003792,5.27384603596651,5.43358962213955,5.64692295070451
0.5,66.5,5.29512808677287,5.35897423919195,5.52846141489079,5.74769217922137
0.5,65.5,5.6861537190584,5.74589730746662,5.90999986790121,6.14358960626981
0.5,64.5,6.25794857807266,6.34076908904199,6.49923062396164,6.65358959487042
0.5,63.5,6.92923061435039,6.9915383052654,7.14743573767826,7.28923060630377
0.5,62.5,7.49871778110854,7.55897419001812,7.70615367390789,7.83333315824469
0.5,61.5,7.7658972623161,7.8453844400266,7.98333315489193,8.12051263900521
0.5,60.5,7.69025623836578,7.76410239056135,7.92769213049458,8.13025622853102
0.5,59.5,7.38948701431927,7.5089741911357,7.64179470098745,8.02435879500058
0.5,58.5,7.07666650849084,7.18589727528011,7.34615368195451,7.8038459794166
0.5,57.5,6.83282036009507,6.96666651094953,7.15358958369455,7.56820495904256
0.5,56.5,6.65589728712654,6.76102548990494,6.9658972801975,7.41999983415008
0.5,55.5,6.41512806173892,6.56743575064227,6.88282035897749,7.31153829811284
0.5,54.5,6.23948704002377,6.41333318998416,6.72461523430852,7.11692291784745
0.5,53.5,6.19846139991513,6.40948703622398,6.77846138695112,7.20897419784123
0.5,51.5,7.70564085340653,7.93051264325205,8.39205109447432,8.91205108285141
0.5,50.5,8.01051264146391,8.28410237893844,8.64948698615608,9.10846133487156
0.5,49.5,8.15384597159349,8.42230750405445,8.73230749712541,9.28641004884281
0.5,40.5,13.6848714889911,13.9035894328203,14.181025324055,14.7620509520937
0.5,39.5,13.8587176389515,14.0261535326449,14.3615381405331,14.9194868460107
0.5,38.5,14.3179483979176,14.4617945485486,14.7835894131508,15.3082047860401
0.5,37.5,14.8141022329816,14.9482047940867,15.2251278648201,15.6776919572686
0.5,36.5,15.1246150465539,15.2633329921712,15.4733329874774,15.8746150297901
0.5,5.5,24.313332789888,24.6358968852422,25.0646148243776,25.9699994195253
0.5,4.5,24.7956404714153,25.0820507214237,25.5143584040686,26.2799994125962
0.5,3.5,25.4338455853554,25.6387173756479,26.0882045450883,26.5776917136346
0.5,2.5,25.9174353181361,26.0664096737806,26.4238455632272,26.8646147841444
0.5,1.5,25.9592301889967,26.1394865952241,26.3287173602252,26.5548712013242
0.5,0.5,25.3794866122114,25.5207686603356,25.7610250652218,26.0953840321073
0.5,-0.5,24.4010250956202,24.4920507346113,24.8841020078995,25.3012814857543
0.5,-1.5,23.5697430629188,23.6499994713813,24.1166661276172,24.6310250904793
0.5,-2.5,23.09820461192,23.2569225570903,23.6792302399587,24.1602558702326
0.5,-3.5,22.9623071790601,23.1697430718595,23.4979481927286,23.9687174129754
0.5,-4.5,23.0297430749887,23.174871276873,23.4417943478299,23.9394994649105
0.5,-5.5,23.0161533317027,23.0979482016693,23.3827494773548,23.7162494699005
0.5,-6.5,22.84897384826,22.9207687184501,23.1447494826745,23.5087494745385
0.5,-7.5,22.55820462399,22.6407494939398,22.8682494888548,23.1859994817525
0.5,-8.5,22.2128200163253,22.3361533469019,22.5341020604261,22.9825635888638
0.5,-9.5,21.9487174581259,22.0635892504301,22.2959995016456,22.6317943659348
0.5,-10.5,21.64820464433,21.7674354108958,21.9537495092954,22.2746148867389
0.5,-11.5,21.2435892687585,21.3651277275804,21.5357495186385,21.8628200241484
0.5,-12.5,20.6912815887959,20.7789738945281,20.982749530999,21.3389738820111
0.5,-13.5,20.1848713437048,20.258204675399,20.4604995426722,20.8315379959173
0.5,-14.5,19.7584995583631,19.82435853125,20.0330764753028,20.4074354412942
0.5,-15.5,19.433249565633,19.5043585384026,19.7297431487495,20.0653841668883
0.5,-16.5,19.1842495711986,19.2607688002575,19.5025636666478,19.8469226333098
0.5,-17.5,19.1137495727744,19.1917944428248,19.4282046939509,19.7515380200572
0.5,-18.5,19.1259995725006,19.188461109566,19.3989739253735,19.6915380213983
0.5,-19.5,19.1314995723777,19.1702559817678,19.3646149517825,19.6346149457475
0.5,-20.5,19.0533329074581,19.0992495730985,19.2830764920666,19.6125636641891
0.5,-21.5,19.0069226520852,19.0689995737746,19.2274995702319,19.5676918703203
0.5,-22.5,18.9515380379386,19.0205123953712,19.1835893148031,19.4564098215256
0.5,-23.5,18.8469226556615,18.9372495767195,19.0525636767061,19.3210252091671
0.5,-24.5,18.6853841977337,18.7977495798375,18.8894995777868,19.1782495713327
0.5,-25.5,18.5079483042638,18.6484611216359,18.7792495802511,19.0512816254527
0.5,-26.5,18.3092303599876,18.435897023823,18.5835893282141,18.8344995790161
0.5,-27.5,18.0720508781095,18.1887175421684,18.3394995900802,18.6607495828997
0.5,-28.5,17.7612816542865,17.8848713951138,18.0544995964505,18.4002495887224
0.5,-29.5,17.4715380710191,17.5838457608166,17.7679996028543,18.0997431851828
0.5,-30.5,17.1799996159971,17.2846149982741,17.471749609476,17.778461141082
0.5,-31.5,16.8438457773569,16.9346150060972,17.1254996172152,17.434871405172
0.5,-32.5,16.397179120674,16.4830765546514,16.6942496268544,17.01871756832
0.5,-33.5,15.9071791316263,15.9817945145739,16.1967496379744,16.5366662970434
0.5,-34.5,15.2989740170156,15.3835893997397,15.5997496513184,15.9499996434897
0.5,-35.5,14.5520509567876,14.6505124930483,14.8719996675849,15.2261535058228
0.5,-36.5,13.6441022591331,13.7594868719387,13.9935894308086,14.312050962152
0.5,-37.5,12.6623074092831,12.7787176630913,12.9738458638581,13.2912817541987
0.5,-38.5,11.6353843553135,11.7530766603752,11.9023074262704,12.2084997271188
0.5,-39.5,10.6802561715341,10.7910253998274,10.9058971921316,11.2364997488447
0.5,-40.5,9.9997433662319,10.0871792617135,10.1894869517344,10.4899997655302
0.5,-41.5,9.3979485078882,9.48384594186567,9.5935895291563,9.84674977990799
0.5,-42.5,8.77974339350103,8.86871775048665,9.00410236284519,9.20205107636941
0.5,-43.5,8.0594869993436,8.16076904836182,8.31871776278011,8.45399981103838
0.5,-44.5,7.20641009533444,7.30538445209655,7.42999983392656,7.58717931759281
0.5,-45.5,6.09615370989419,6.18692293863457,6.3456408838049,6.51099985446781
0.5,-46.5,5.01076911876981,5.11256398828939,5.26274988236837,5.39574987939559
0.5,-47.5,4.08999990858138,4.18487170133262,4.3122499036137,4.45999990031123
0.5,-48.5,3.34230761760129,3.38846146272352,3.50692299853724,3.67649991782382
0.5,-49.5,2.62666660795609,2.67897429909462,2.7912499376107,2.94974993406795
0.5,-50.5,1.83128201034971,1.87948713747737,1.9934999554418,2.13474995228462
0.5,-51.5,0.966410234809304,1.0056410031632,1.13099997472018,1.25384612582051
0.5,-52.5,0.21102563630885,0.24333332789441,0.35724999201484,0.454102553952581
0.5,-53.5,-0.350256402427569,-0.316923069839294,-0.20051281603101,-0.0994999977760017
0.5,-54.5,-0.747948701230761,-0.719230753154709,-0.645641011209824,-0.534249988058582
0.5,-55.5,-1.02794869497227,-1.00307690065641,-0.956153824782142,-0.798717930865211
0.5,-56.5,-1.25128202331372,-1.22102561373359,-1.16307689708013,-0.9566666452835
0.5,-57.5,-1.47230765939905,-1.43820509605874,-1.38615381517089,-1.20749997301027
0.5,-58.5,-1.65230765537574,-1.61589739977931,-1.58128201593764,-1.42924996805377
0.5,-59.5,-1.74435893536951,-1.71871791030161,-1.70076919275408,-1.59461534897295
0.5,-60.5,-1.77820508845915,-1.76128201191433,-1.75051278138581,-1.67599996253848
0.5,-61.5,-1.78435893447544,-1.7738461141976,-1.76102560166365,-1.72871791007809
0.5,-62.5,-1.78153842171797,-1.775128165451,-1.76512816567452,-1.73948714060661
0.5,-63.5,-1.78051278071526,-1.77179483219217,-1.76076919141297,-1.74794867887902
0.5,-64.5,-1.78153842171797,-1.77205124244285,-1.7592307299089,-1.74615380712427
0.5,-65.5,-1.78717944723291,-1.77461534494964,-1.7641025246718,-1.75461534539667
0.5,-66.5,-1.79051278049174,-1.78256406272069,-1.77435893469896,-1.7579486786555
0.5,-67.5,-1.78794867798495,-1.78205124221933,-1.77256406294421,-1.75999996066093
0.5,-68.5,-1.75564098639939,-1.75051278138581,-1.7420512431134,-1.72999996133149
0.5,-69.5,-1.69615380824185,-1.68923073147352,-1.68282047520654,-1.66549996277317
0.5,-70.5,-1.64102560434586,-1.63461534807888,-1.62666663030783,-1.60774996406399
1.5,89.5,-1.79948713926551,-1.79948713926551,-1.79948713926551,-1.79948713926551
1.5,88.5,-1.79948713926551,-1.79948713926551,-1.79948713926551,-1.79948713926551
1.5,87.5,-1.79076919074242,-1.7897435497397,-1.78897431898767,-1.78820508823563
1.5,86.5,-1.79897431876415,-1.79897431876415,-1.79897431876415,-1.79871790851347
1.5,85.5,-1.79948713926551,-1.79948713926551,-1.79923072901483,-1.79923072901483
1.5,84.5,-1.79948713926551,-1.79948713926551,-1.79923072901483,-1.79897431876415
1.5,83.5,-1.79948713926551,-1.79871790851347,-1.79769226751075,-1.79641021625736
1.5,82.5,-1.79641021625736,-1.78384611397409,-1.77435893469896,-1.76999996043742
1.5,81.5,-1.61794868178475,-1.58589740044987,-1.52538458128961,-1.5084615047448
1.5,80.5,-0.973589721828317,-0.942820491746832,-0.842820493982006,-0.777179469808172
1.5,79.5,-0.142564099377547,-0.0797435879611816,0.0343589735909914,0.11487179230421
1.5,78.5,0.616153832381734,0.693589728086805,0.819230750919535,0.911538441163989
1.5,77.5,0.951794850520599,1.0582051045524,1.17128202510186,1.30256407344953
1.5,76.5,0.706923061122115,0.829743571197375,0.921025620439114,1.06179484806191
1.5,75.5,-0.150769227399276,-0.0135897432859892,0.150256406897918,0.257435891681757
1.5,74.5,-0.025128204566546,0.0889743569856271,0.22461537959484,0.301282044547873
1.5,73.5,0.906153825899729,0.933076902221029,0.987948695866343,1.07256407859043
1.5,72.5,2.16307687472839,2.24230764218821,2.28333328229686,2.36999994702637
1.5,71.5,3.37666659119229,3.43205120533896,3.47384607619964,3.53820504912008
1.5,70.5,4.49153836114475,4.55923066732402,4.61897425573224,4.73256399678305
1.5,69.5,5.27897424098009,5.34589731640732,5.42051269935492,5.56717936274333
1.5,68.5,5.63025628441037,5.68051269354346,5.75974346100329,5.95487166177004
1.5,67.5,5.50358962057493,5.55974346547364,5.67615371928192,5.88846140684417
1.5,66.5,5.74256397420779,5.79435884484496,5.92333320093652,6.15282037529426
1.5,65.5,6.19179473339747,6.25564088581655,6.4043588312104,6.60307677548665
1.5,64.5,6.69717933748586,6.77923061770315,6.90179471752773,7.04666650916139
1.5,63.5,7.1725639422448,7.22358958212993,7.36076906624322,7.47948701230761
1.5,62.5,7.50769213988231,7.55589726700997,7.69051264861646,7.84512802977593
1.5,61.5,7.57282034355478,7.64025623948337,7.77282033908444,7.99435879567113
1.5,60.5,7.3805126555455,7.48153829431305,7.61743572717294,7.9323075150068
1.5,59.5,7.09743573879584,7.22794855639147,7.37897419404143,7.75358957028351
1.5,58.5,6.84435882137563,6.9915383052654,7.17846137801042,7.52897419068867
1.5,57.5,6.66179472289215,6.77897420745247,6.98564086949978,7.39128188607402
1.5,56.5,6.52076908501868,6.62358959554098,6.89384599975668,7.36564086100612
1.5,55.5,6.31974344848631,6.46538447087201,6.77794856644976,7.20897419784123
1.5,54.5,6.1743588363513,6.36589729360854,6.71717933703883,7.16051266046289
1.5,53.5,6.23897421952242,6.46717934262676,6.91358958905897,7.41999983415008
1.5,52.5,6.63230754406406,6.84794856488514,7.30820496485401,7.86846136258772
1.5,51.5,7.28692291404765,7.48512803782255,7.93205110475612,8.47102545168346
1.5,50.5,7.79948700515506,8.0325639230223,8.48717929747624,9.02256390089408
1.5,40.5,13.6946150785169,13.9138458428475,14.1692304525238,14.7158971069715
1.5,39.5,13.9861535335389,14.1499996837229,14.4594868562925,15.0264099205438
1.5,38.5,14.4712817278237,14.616409929708,14.9146150512478,15.4707688849706
1.5,37.5,14.9182047947573,15.058204791628,15.3187176063179,15.762050929742
1.5,36.5,15.1535894048806,15.27794837646,15.4684611927145,15.8569227224932
1.5,5.5,24.7928199586578,25.0917943109496,25.4848712252405,26.3399994112551
1.5,4.5,25.1658968733958,25.4425635338785,25.8484609607034,26.5144994073547
1.5,3.5,25.6361532731412,25.8425635249378,26.28897377137,26.7607686326194
1.5,2.5,25.986153265318,26.1566660820196,26.4671788955919,26.9397493978497
1.5,1.5,25.9699994195253,26.1541019795128,26.3679481285791,26.5882045339124
1.5,0.5,25.4484609696441,25.5605122491908,25.7874353210418,26.1194865956711
1.5,-0.5,24.4751276580665,24.5507686820168,24.9138455969783,25.3399994336069
1.5,-1.5,23.6392302408528,23.7115379315443,24.1369225374208,24.6825635508658
1.5,-2.5,23.1438456365409,23.2528199930795,23.746922546138,24.1797430492842
1.5,-3.5,22.9751276915941,23.1520507645626,23.5712815244228,23.9861533100215
1.5,-4.5,22.9941020501443,23.1879481996577,23.4510251168544,23.9866661305229
1.5,-5.5,22.9738456403407,23.0969225606666,23.3176917865013,23.7887174169987
1.5,-6.5,22.7912815418572,22.8541020532736,23.132563585511,23.5446148583522
1.5,-7.5,22.4769225745247,22.5612815469981,22.7638456450345,23.1764097383771
1.5,-8.5,22.0648713016835,22.1959995038807,22.4347494985443,22.7797430805766
1.5,-9.5,21.7733328466614,21.9112495102454,22.1115379673071,22.5848712900606
1.5,-10.5,21.4707687508601,21.5853841329137,21.8361533580778,22.2148712983307
1.5,-11.5,21.0725636315556,21.1930764493747,21.4269995210692,21.7828200259365
1.5,-12.5,20.521025182345,20.6028200523116,20.86324953367,21.2369226022409
1.5,-13.5,20.0161533987579,20.0835892946865,20.3407495453488,20.7374354339181
1.5,-14.5,19.5987175106525,19.6448713557747,19.9057495550718,20.3094867255348
1.5,-15.5,19.2724995692261,19.3148713631508,19.558249562839,19.9582046821045
1.5,-16.5,19.0077495751437,19.0597431637251,19.3084611068838,19.6599995605648
1.5,-17.5,18.9239995770156,18.9894867550391,19.2289739291733,19.561538024304
1.5,-18.5,18.9302495768759,18.988717524287,19.2035893143561,19.5020508461465
1.5,-19.5,18.9349995767698,18.9784611142599,19.1758970072827,19.4761534108279
1.5,-20.5,18.8597431681955,18.8937495776918,19.0984611115777,19.4399995654821
1.5,-21.5,18.8143585538253,18.8597495784517,19.0367495744955,19.4030764893844
1.5,-22.5,18.7605124011827,18.8274995791726,19.015897010859,19.3002559788621
1.5,-23.5,18.6615380444206,18.7482047091501,18.8925636802824,19.1689739305144
1.5,-24.5,18.5025636889996,18.6084995840676,18.7153841970632,18.9992303445649
1.5,-25.5,18.3353842055568,18.4772495870013,18.5837495846208,18.8947495776694
1.5,-26.5,18.152307286572,18.2902560014373,18.4387175365805,18.6810252234722
1.5,-27.5,17.9338457529935,18.062820109085,18.1997431829476,18.504999586381
1.5,-28.5,17.6405124262166,17.7741021668204,17.91224959963,18.2559995919466
1.5,-29.5,17.3730765347584,17.4925637115748,17.6472496055532,18.011749597406
1.5,-30.5,17.1058970535508,17.2084611538224,17.3742496116553,17.7428201162376
1.5,-31.5,16.7976919322346,16.8864098789696,17.0582496187184,17.4184611491286
1.5,-32.5,16.3912816849083,16.4779483496379,16.6732496273238,17.0217944913281
1.5,-33.5,15.9235893876698,16.0012816936255,16.2002496378962,16.5533329633375
1.5,-34.5,15.3228201703288,15.4079483735542,15.6167496509384,15.9666663097839
1.5,-35.5,14.5776919818555,14.6812817231298,14.898749666987,15.2348714543459
1.5,-36.5,13.6810253352309,13.8138458450826,14.0056407125906,14.3156407056615
1.5,-37.5,12.6825638190867,12.8215381749547,12.9648715050843,13.2937497028615
