"range","sensitivity_type","genus_species","source","realm","dormancy","filling_type","filling_value","lat_mp","range_area_km2","edge_type","type","Realm","data_gatherer","Genus","Species","Family","Kingdom","Phylum","Class","Order","maximum_body_size_SVL_HBL_cm_","Source_for_maximum_body_size","notes_on_body_size_e_g_type_of_metric_","Trophic_position","Source_logic_for_trophic_position","migratory_","source_logic_for_migration_info","dispersal_distance_category","logic_source_for_dispersal_distance","dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering_","logic_source_for_dispersal_type","cold_season_dormancy_","source_logic_for_cold_season_dormancy","notes_for_cold_season_dormancy","hot_season_dormancy_","source_logic_for_hot_season_dormancy","notes_for_hot_season_dormancy","highland_specialist","source_logic_for_highland_specialist","Pelagic_habitat_for_marine_species_","source_logic_for_pelagic_habitat","limit_type","habitat_data_gatherer","coastal_or_oceanic","notes_logic","coastal_or_oceanic_source","upper_depth_limit","lower_depth_limit","usual_range","depth_distribution_source","upper_elevation_limit_meters","lower_elevation_limit_meters","elevational_range_source","Pelagic_habitat_.for_marine_species.","notes","metric"
"Ameiva_festiva_GBIF","Te_best","Ameiva_festiva","GBIF","terrestrial",NA,"perfect_warm",0,NA,NA,"warm","min","Terrestrial","Ignacio","Ameiva","festiva","Teiidae","Animalia","Chordata","Reptilia","Squamata",88.2,"Meiri 2008","max adult SVL","insectivore","http://eol.org/","No","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","No","no info - based on climate",NA,"No","no info - based on climate",NA,"non-highland specialist","Ramírez-Morales, R., Lislevand, T., Retana-Salazar, A., Solhøy, T., & Roth, S. (2012). Ectoparasite loads of the Central American whiptail lizard Ameiva festiva (Squamata: Teiidae). The Herpetological Journal, 22(3), 151-155.",NA,"terrestrial","max, min",NA,NA,NA,NA,NA,NA,NA,NA,1435,0,"IUCN",NA,"Changed name from Ameiva festiva to Holcosus festivus","ct"
"Ameiva_festiva_GBIF","elev_x_dormancy","Ameiva_festiva","GBIF","Terrestrial",NA,"warm_under",-2.2465209960938,11.3049943135829,715062,"warm","min","Terrestrial","Ignacio","Ameiva","festiva","Teiidae","Animalia","Chordata","Reptilia","Squamata",88.2,"Meiri 2008","max adult SVL","insectivore","http://eol.org/","No","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","No","no info - based on climate",NA,"No","no info - based on climate",NA,"non-highland specialist","Ramírez-Morales, R., Lislevand, T., Retana-Salazar, A., Solhøy, T., & Roth, S. (2012). Ectoparasite loads of the Central American whiptail lizard Ameiva festiva (Squamata: Teiidae). The Herpetological Journal, 22(3), 151-155.",NA,"terrestrial","max, min",NA,NA,NA,NA,NA,NA,NA,NA,1435,0,"IUCN",NA,"Changed name from Ameiva festiva to Holcosus festivus","ct"
"Amphibolurus_muricatus_IUCN","Te_best","Amphibolurus_muricatus","IUCN","terrestrial",NA,"cold_over",11.5114762783051,NA,NA,"cold","min","Terrestrial","Ignacio","Amphibolurus","muricatus","Agamidae","Animalia","Chordata","Reptilia","Squamata",125,"Meiri 2008","max adult SVL","omnivore","Walton, D. W. Ed. 1987. Fauna of Australia, Volume 1A. Australian Government Publishing Service, Canberra. ISBN 0-644-06055-7","No","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","Warner, D. A., & Shine, R. (2008). Determinants of Dispersal Distance in Freeäó�Ranging Juvenile Lizards. Ethology, 114(4), 361-368.","walking","Squamate walking tetrapod","Yes","Hall, J. M., & Warner, D. A. (2017). Winter Microhabitat Selection and Growth of Jacky Dragons (Amphibolurus muricatus). Copeia, 105(4), 618-625.","""typically become inactive as temperatures cool in May (Autumn) and remain relatively inactive through July (Winter; Harlow and Taylor, 2000).""","No","no info - based on climate and congeners",NA,"non-highland specialist","https://southern-highlands.naturemapr.org/Species/36738",NA,"terrestrial","max, min",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ct"
"Amphibolurus_muricatus_IUCN","elev_x_dormancy","Amphibolurus_muricatus","IUCN","Terrestrial",NA,"cold_under",-1.54200291633606,-29.2588498495,595237,"cold","min","Terrestrial","Ignacio","Amphibolurus","muricatus","Agamidae","Animalia","Chordata","Reptilia","Squamata",125,"Meiri 2008","max adult SVL","omnivore","Walton, D. W. Ed. 1987. Fauna of Australia, Volume 1A. Australian Government Publishing Service, Canberra. ISBN 0-644-06055-7","No","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","Warner, D. A., & Shine, R. (2008). Determinants of Dispersal Distance in Freeäó�Ranging Juvenile Lizards. Ethology, 114(4), 361-368.","walking","Squamate walking tetrapod","Yes","Hall, J. M., & Warner, D. A. (2017). Winter Microhabitat Selection and Growth of Jacky Dragons (Amphibolurus muricatus). Copeia, 105(4), 618-625.","""typically become inactive as temperatures cool in May (Autumn) and remain relatively inactive through July (Winter; Harlow and Taylor, 2000).""","No","no info - based on climate and congeners",NA,"non-highland specialist","https://southern-highlands.naturemapr.org/Species/36738",NA,"terrestrial","max, min",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ct"
"Amphibolurus_muricatus_IUCN","elev_x_dormancy","Amphibolurus_muricatus","IUCN","Terrestrial",NA,"warm_under",-8.9118671417236,-29.2588498495,595237,"warm","min","Terrestrial","Ignacio","Amphibolurus","muricatus","Agamidae","Animalia","Chordata","Reptilia","Squamata",125,"Meiri 2008","max adult SVL","omnivore","Walton, D. W. Ed. 1987. Fauna of Australia, Volume 1A. Australian Government Publishing Service, Canberra. ISBN 0-644-06055-7","No","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","Warner, D. A., & Shine, R. (2008). Determinants of Dispersal Distance in Freeäó�Ranging Juvenile Lizards. Ethology, 114(4), 361-368.","walking","Squamate walking tetrapod","Yes","Hall, J. M., & Warner, D. A. (2017). Winter Microhabitat Selection and Growth of Jacky Dragons (Amphibolurus muricatus). Copeia, 105(4), 618-625.","""typically become inactive as temperatures cool in May (Autumn) and remain relatively inactive through July (Winter; Harlow and Taylor, 2000).""","No","no info - based on climate and congeners",NA,"non-highland specialist","https://southern-highlands.naturemapr.org/Species/36738",NA,"terrestrial","max, min",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ct"
"Amphibolurus_muricatus_IUCN","Te_best","Amphibolurus_muricatus","IUCN","terrestrial",NA,"warm_under",-5.7090301513672,NA,NA,"warm","min","Terrestrial","Ignacio","Amphibolurus","muricatus","Agamidae","Animalia","Chordata","Reptilia","Squamata",125,"Meiri 2008","max adult SVL","omnivore","Walton, D. W. Ed. 1987. Fauna of Australia, Volume 1A. Australian Government Publishing Service, Canberra. ISBN 0-644-06055-7","No","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","Warner, D. A., & Shine, R. (2008). Determinants of Dispersal Distance in Freeäó�Ranging Juvenile Lizards. Ethology, 114(4), 361-368.","walking","Squamate walking tetrapod","Yes","Hall, J. M., & Warner, D. A. (2017). Winter Microhabitat Selection and Growth of Jacky Dragons (Amphibolurus muricatus). Copeia, 105(4), 618-625.","""typically become inactive as temperatures cool in May (Autumn) and remain relatively inactive through July (Winter; Harlow and Taylor, 2000).""","No","no info - based on climate and congeners",NA,"non-highland specialist","https://southern-highlands.naturemapr.org/Species/36738",NA,"terrestrial","max, min",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ct"
"Anodontia_bullula_GBIF","elev_x_dormancy","Anodontia_bullula","GBIF","Intertidal",NA,"cold_under",-2.63807582855225,-15.0469085802848,1383577,"cold","min","Intertidal","Jenn","Anodontia","bullula","Lucinidae","Animalia","Mollusca","Bivalvia","Veneroida",2.5,"Meyer (2008) The Raffles Bulletin of Zoology 18: 41-45",NA,"omnivore","filter feeding bivalve","Non-migratory","sessile","100+","guessed","walking","Labarbera (1974) Journal of Paleontology 48(2): 256-277; planktonic larvae based on species in the same genus","No","unheard of for marine bivalves",NA,"No","unheard of for marine bivalves",NA,"non-highland specialist","intertidal","benthic",NA,"max, min",NA,NA,"intertidal",NA,NA,NA,NA,NA,NA,NA,NA,"benthic",NA,"LT50"
"Anodontia_bullula_GBIF","Te_best","Anodontia_bullula","GBIF","intertidal",NA,"cold_under",-2.63807582855225,NA,NA,"cold","min","Intertidal","Jenn","Anodontia","bullula","Lucinidae","Animalia","Mollusca","Bivalvia","Veneroida",2.5,"Meyer (2008) The Raffles Bulletin of Zoology 18: 41-45",NA,"omnivore","filter feeding bivalve","Non-migratory","sessile","100+","guessed","walking","Labarbera (1974) Journal of Paleontology 48(2): 256-277; planktonic larvae based on species in the same genus","No","unheard of for marine bivalves",NA,"No","unheard of for marine bivalves",NA,"non-highland specialist","intertidal","benthic",NA,"max, min",NA,NA,"intertidal",NA,NA,NA,NA,NA,NA,NA,NA,"benthic",NA,"LT50"
"Anodontia_bullula_GBIF","elev_x_dormancy","Anodontia_bullula","GBIF","Intertidal",NA,"warm_under",-0.3892211914063,-15.0469085802848,1383577,"warm","min","Intertidal","Jenn","Anodontia","bullula","Lucinidae","Animalia","Mollusca","Bivalvia","Veneroida",2.5,"Meyer (2008) The Raffles Bulletin of Zoology 18: 41-45",NA,"omnivore","filter feeding bivalve","Non-migratory","sessile","100+","guessed","walking","Labarbera (1974) Journal of Paleontology 48(2): 256-277; planktonic larvae based on species in the same genus","No","unheard of for marine bivalves",NA,"No","unheard of for marine bivalves",NA,"non-highland specialist","intertidal","benthic",NA,"max, min",NA,NA,"intertidal",NA,NA,NA,NA,NA,NA,NA,NA,"benthic",NA,"LT50"
"Anodontia_bullula_GBIF","Te_best","Anodontia_bullula","GBIF","intertidal",NA,"warm_under",-0.3892211914063,NA,NA,"warm","min","Intertidal","Jenn","Anodontia","bullula","Lucinidae","Animalia","Mollusca","Bivalvia","Veneroida",2.5,"Meyer (2008) The Raffles Bulletin of Zoology 18: 41-45",NA,"omnivore","filter feeding bivalve","Non-migratory","sessile","100+","guessed","walking","Labarbera (1974) Journal of Paleontology 48(2): 256-277; planktonic larvae based on species in the same genus","No","unheard of for marine bivalves",NA,"No","unheard of for marine bivalves",NA,"non-highland specialist","intertidal","benthic",NA,"max, min",NA,NA,"intertidal",NA,NA,NA,NA,NA,NA,NA,NA,"benthic",NA,"LT50"
