Family,species,mean annual temeprature,mean body temperature,mean seasonal temperature,activity period,latitudinal centroid,maximum body mass,mean female mass,hatchling mass,basis of female mass estimate,insular endemic?,Activity time,substrate,diet,reproduction,Red List status,Population trend,mean body temperature,body temperatrue references
Agamidae,Ctenophorus vadnappa,17.9,37.2,22.5,oct_apr,-31.0,1.23,1.16,NA,mean species SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,37.2,Greer 1989
Agamidae,Diporiphora bilineata,25.1,44.3,25.1,all,-16.0,0.90,0.56,NA,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,44.3,"Bradshaw and Main 1968, Heatwole and Taylor 1987"
Agamidae,Diporiphora winneckei,22.9,35.3,28.9,oct_apr,-25.0,0.90,0.80,-0.71,female SVL,no,Diurnal,air,Omnivorous,Oviparous,NE,NE,35.3,"Pianka 1986, Melville and Schulte 2001, Greer 1989, Heatwole and Taylor 1987"
Agamidae,Draco volans,23.9,29.3,23.9,all,-2.0,1.32,1.04,-0.40,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,29.3,"Avery 1982, Alcala 1966"
Agamidae,Gonocephalus liogaster,26.2,25.7,26.2,all,3.0,1.87,1.54,-0.09,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,25.7,"Inger 1959, Brattstrom 1965"
Agamidae,Hypsilurus spinipes,16.3,19.0,19.5,oct_apr,-31.0,1.73,1.58,-0.11,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,19.0,Rummery et al. 1995
Agamidae,Istiurus lesueurii,18.5,29.4,21.5,oct_apr,-27.0,2.78,2.31,0.42,female SVL,no,Diurnal,water,Omnivorous,Oviparous,NE,NE,29.4,Heatwole and Taylor 1987
Agamidae,Japalura polygonata,20.8,29.5,23.0,mar_sep,24.0,1.08,0.63,NA,female SVL,yes,Diurnal,air,Carnivorous,Oviparous,NE,NE,29.5,"Tanaka 1986, Rummery et al. 1995"
Agamidae,Laudakia caucasia,14.7,29.0,20.1,mar_sep,35.0,1.97,1.53,0.13,female SVL,no,Diurnal,air,Omnivorous,Oviparous,NE,NE,29.0,Arakelyan et al. 2011
Agamidae,Laudakia nupta,19.44,27.2,24.3,mar_sep,30.0,2.10,1.81,0.28,female SVL,no,Diurnal,air,Herbivorous,Oviparous,NE,NE,27.2,Anderson 1963
Agamidae,Laudakia stellio,15.8,33.8,19.9,mar_sep,35.0,2.77,1.45,-0.15,female SVL,no,Diurnal,air,Omnivorous,Oviparous,NE,NE,33.8,"Hertz et al. 1983, Hertz and Nevo 1981, Meiri, own data"
Agamidae,Lophognathus gilberti,24.3,33.7,24.3,all,-21.0,1.77,1.11,-0.33,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,stable,33.7,Melville and Schlute 2001
Agamidae,Lophognathus longirostris,23.4,35.4,23.4,all,-23.0,1.55,1.15,-0.38,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,35.4,"Light et al. 1966, Huey and Pianka 2007, Pianka 1986, Melville and Schulte 2001, Greer 1989, Heatwole and Taylor 1987, Curry-Lindahl 1979"
Agamidae,Lophognathus temporalis,27.1,30.6,27.1,all,-13.0,1.93,1.19,0.05,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,30.6,Blouin-Demers and Nadeau 2005
Agamidae,Lyriocephalus scutatus,24.8,27.5,24.8,all,7.0,2.19,1.57,NA,female SVL,yes,Diurnal,air,Omnivorous,Oviparous,NT,unknown,27.5,Meek et al. 2005
Agamidae,Moloch horridus,22.0,32.9,25.7,oct_apr,-25.0,1.64,1.29,-0.07,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,32.9,"Light et al. 1966, Huey and Pianka 2007, Pianka 1986, Greer 1989, Heatwole and Taylor 1987, Curry-Lindahl 1979"
Agamidae,Otocryptis wiegmanni,22.6,26.1,22.6,all,6.8,1.07,0.53,NA,female SVL,yes,Diurnal,air,Omnivorous,Oviparous,NE,NE,26.1,Meek et al. 2005
Agamidae,Phrynocephalus helioscopus,7.8,37.1,17.1,apr_aug,45.0,0.90,0.40,-0.92,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,decreasing,37.1,"Clemann et al. 2008, Ulmasov et al. 1999"
Agamidae,Phrynocephalus interscapularis,13.5,36.7,20.5,mar_sep,41.0,0.21,-0.15,NA,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,36.7,"Clemann et al. 2008, Ulmasov et al. 1999"
Agamidae,Phrynocephalus mystaceus,10.8,32.3,18.0,mar_sep,43.0,1.65,0.93,-0.23,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,32.3,Clemann et al. 2008
Agamidae,Phrynocephalus persicus,11.3,38.0,16.2,mar_sep,36.0,0.67,0.33,-0.59,female SVL,no,Diurnal,air,Carnivorous,Oviparous,VU,stable,38.0,Arakelyan et al. 2011
Agamidae,Phrynocephalus przewalskii,2.8,33.5,10.4,mar_sep,41.0,1.23,0.65,NA,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,stable,33.5,Xu and Yang 1995
Agamidae,Phrynocephalus raddei,15.2,42.5,21.3,mar_sep,38.0,0.65,0.43,-0.53,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,42.5,Ulmasov et al. 1992
Agamidae,Phrynocephalus theobaldi,1.1,32.0,7.0,mar_sep,34.0,0.62,0.44,-0.46,female SVL,no,Diurnal,air,Omnivorous,Viviparous,LC,unknown,32.0,Schleich and Kastle 2002
Agamidae,Physignathus cocincinus,20.2,28.4,20.2,all,22.0,2.59,1.97,0.31,female SVL,no,Diurnal,water,Carnivorous,Oviparous,NE,NE,28.4,Meek 1999
Agamidae,Pogona barbata,17.7,31.6,19.6,oct_apr,-30.0,2.59,2.04,-0.03,female SVL,no,Diurnal,air,Omnivorous,Oviparous,LC,stable,31.6,"Blouin-Demers and Nadeau 2005, Michael and Lindenmayer 2010, Greer 1989, Heatwole and Taylor 1987"
Agamidae,Pogona minima,19.8,34.3,22.7,oct_apr,-29.0,2.00,1.62,0.12,female SVL,no,Diurnal,air,Omnivorous,Oviparous,NE,NE,34.3,"Bradshaw and Main 1968, Greer 1989, Heatwole and Taylor 1987, Licht et al. 1966, Light et al. 1966"
Agamidae,Pogona minor,22.7,34.0,27.7,oct_apr,-24.0,2.08,1.47,-0.05,female SVL,no,Diurnal,air,Omnivorous,Oviparous,NE,NE,34.0,"Huey and Pianka 2007, Bradshaw and Main 1968, Pianka 1986, Heatwole and Taylor 1987, Light et al. 1966"
Agamidae,Pogona vitticeps,20.6,34.6,24.4,oct_apr,-27.0,2.59,2.12,0.13,female SVL,no,Diurnal,air,Omnivorous,Oviparous,NE,NE,34.6,"MacMillen et al. 1989, Melville and Schulte 2001, Greer 1989"
Agamidae,Pseudotrapelus sinaitus,22.1,39.0,25.4,mar_sep,25.0,1.50,1.09,-0.23,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,39.0,"Hertz and Nevo 1981, Meiri, own data"
Agamidae,Sitana ponticeriana,21.2,34.4,24.6,mar_sep,24.0,1.09,0.53,-1.16,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,stable,34.4,Rao 1998
Agamidae,Trapelus agilis,15.9,38,24.9,mar_sep,36.0,1.57,1.00,-0.28,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,38,Anderson 1963
Agamidae,Trapelus mutabilis,22.5,35.8,26.1,mar_sep,26.0,1.36,0.96,-0.23,female SVL,no,Diurnal,air,Omnivorous,Oviparous,NE,NE,35.8,"Schleich et al. 1996, Hertz and Nevo 1981 (as pallida): 38.5, Meiri, own data"
Agamidae,Trapelus ruderatus,16.0,37.9,20.7,mar_sep,34.0,1.77,1.01,-0.38,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,stable,37.9,"Hertz and Nevo 1981 (as pallida), Meiri, own data, Anderson 1963 as Agama persica"
Agamidae,Trapelus sanguinolentus,9.7,35.4,17.3,mar_sep,43.0,2.21,1.15,-0.28,female SVL,no,Diurnal,air,Omnivorous,Oviparous,NE,NE,35.4,Clemann et al. 2008
Agamidae,Trapelus savignii,20.2,36.0,23.0,mar_sep,31.0,1.65,0.91,-0.19,female SVL,no,Diurnal,air,Carnivorous,Oviparous,VU,decreasing,36.0,"Hertz and Nevo 1981, Hertz et al. 1983, Meiri, own data"
Agamidae,Tympanocryptis centralis,23.7,35.1,23.7,all,-21.7,0.57,0.57,-0.65,mean species SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,35.1,Melville and Schlute 2001
Agamidae,Tympanocryptis lineata,21.3,36.4,22.9,oct_apr,-26.0,0.93,0.56,-0.65,female SVL,no,Diurnal,air,Omnivorous,Oviparous,NE,NE,36.4,"MacMillen et al. 1989, Greer 1989"
Agamidae,Uromastyx acanthinura,21.7,38.0,25.7,mar_sep,27.0,3.22,2.39,0.45,female SVL,no,Diurnal,air,Herbivorous,Oviparous,NE,NE,38.0,Schleich et al. 1996
Agamidae,Uromastyx aegyptia,22.1,38.0,25.9,mar_sep,27.0,3.28,2.92,0.67,female SVL,no,Diurnal,air,Herbivorous,Oviparous,NE,NE,38.0,Rappeport 1974
Agamidae,Uromastyx loricata,22.46,43.2,27.4,mar_sep,32.0,2.79,2.41,0.62,female SVL,no,Diurnal,air,Herbivorous,Oviparous,LC,unknown,43.2,Anderson 1963
Amphisbaenidae,Amphisbaena alba,22.9,25.0,22.9,all,-13.0,3.01,2.21,0.18,female SVL,no,Cathemeral,earth,Carnivorous,Oviparous,LC,unknown,25.0,Abe and Johansen 1987
Amphisbaenidae,Amphisbaena mertensii,20.8,22.4,20.8,all,-23.0,1.82,1.63,-0.52,female SVL,no,Cathemeral,earth,Carnivorous,Oviparous,NE,NE,22.4,"Abe 1984, Hailey and Elliot 1995"
Amphisbaenidae,Zygaspis quadrifrons,20.7,23.8,20.7,all,-19.0,0.93,0.27,-1.52,female SVL,no,Cathemeral,earth,Carnivorous,Oviparous,NE,NE,23.8,Hailey and Elliot 1995
Anguidae,Anguis cephallonica,15.7,29.0,18.9,mar_sep,37.0,1.21,0.64,0.04,mean species SVL,no,Diurnal,air,Carnivorous,Viviparous,NT,decreasing,29.0,"Panayiotis Pafilis, own data"
Anguidae,Anguis fragilis,7.6,24.3,14.4,apr_aug,52.0,1.46,0.96,-0.40,female SVL,no,Diurnal,air,Carnivorous,Viviparous,NE,NE,24.3,"Galan and Salvador 2006, Brown and Roberts 2008, Hailey and Elliot 1995"
Anguidae,Barisia imbricata,17.1,26.6,17.1,all,23.0,1.89,1.34,-0.67,female SVL,no,Diurnal,air,Carnivorous,Viviparous,LC,unknown,26.6,"Contreras-Lozano et al. 2010, Dixon and Lemos-Espinal 2010"
Anguidae,Celestus badius,26.4,31.8,26.4,all,18.0,1.25,1.21,NA,mean species SVL,yes,Diurnal,air,Carnivorous,Viviparous,NE,NE,31.8,"Henderson and Powell 2009, Powell 1999"
Anguidae,Diploglossus lessonae,24.1,32.3,24.1,all,-7.0,1.92,1.77,NA,female SVL,no,Diurnal,earth,Carnivorous,Oviparous,LC,unknown,32.3,Vitt 1995
