Family,species,mean annual temeprature,mean body temperature,mean seasonal temperature,activity period,latitudinal centroid,maximum body mass,mean female mass,hatchling mass,basis of female mass estimate,insular endemic?,Activity time,substrate,diet,reproduction,Red List status,Population trend,mean body temperature,body temperatrue references
Corytophanidae,Basiliscus basiliscus,24.6,27.8,24.6,all,8.0,2.74,2.11,0.16,female SVL,no,Diurnal,water,Omnivorous,Oviparous,NE,NE,27.8,Savage 2002
Corytophanidae,Basiliscus plumifrons,24.9,31.7,24.9,all,13.0,2.74,1.77,0.11,female SVL,no,Diurnal,water,Omnivorous,Oviparous,NE,NE,31.7,Hirth 1965
Corytophanidae,Basiliscus vittatus,24.6,36.2,24.6,all,16.0,2.60,1.68,0.07,female SVL,no,Diurnal,water,Omnivorous,Oviparous,NE,NE,36.2,"Savage 2002, Hirth 1963, Hirth 1965"
Crotaphytidae,Crotaphytus collaris,15.0,36.8,19.5,mar_sep,33.0,1.83,1.31,0.05,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,stable,36.8,"Muchlinski et al. 1995, Werner and Whitaker 1978, Degenhardt et al. 1996, Fitch 1956, Brattstrom 1965"
Crotaphytidae,Crotaphytus dickersonae,21.8,36.9,25.4,mar_sep,29.2,1.66,1.14,NA,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,stable,36.9,Plasman et al. 2007
Crotaphytidae,Gambelia sila,15.3,38.6,19.4,mar_sep,36.0,1.77,1.42,0.40,female SVL,no,Diurnal,air,Carnivorous,Oviparous,EN,decreasing,38.6,"Curry-Lindahl 1979, Brattstrom 1965"
Crotaphytidae,Gambelia wislizenii,13.5,38.1,19.6,mar_sep,36.0,1.99,1.58,0.23,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,stable,38.1,"Huey and Pianka 2007, Pianka 1986, Degenhardt et al. 1996, Cunningham 1966, Brattstrom 1965"
Diplodactylidae,Amalosia rhombifer,25.3,26.1,25.3,all,-17.0,0.98,0.32,-0.96,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,26.1,Greer 1989
Diplodactylidae,Diplodactylus conspicillatus,22.9,31.0,27.3,oct_apr,-24.0,0.71,0.51,-0.53,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,31.0,"Huey and Pianka 2007, Pianka 1986, Greer 1989, Heatwole and Taylor 1987"
Diplodactylidae,Diplodactylus galeatus,21.3,36.7,26.3,oct_apr,-26.0,0.49,0.37,NA,mean species SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,36.7,Heatwole and Taylor 1987
Diplodactylidae,Diplodactylus granariensis,18.7,20.9,21.0,oct_apr,-30.0,0.85,0.56,-0.70,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,LC,stable,20.9,Greer 1989
Diplodactylidae,Diplodactylus pulcher,20.8,27.8,23.7,oct_apr,-28.0,0.65,0.36,-0.45,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,27.8,"Huey and Pianka 2007, Pianka 1986, Greer 1989, Werner and Whitaker 1978, Heatwole and Taylor 1987"
Diplodactylidae,Diplodactylus tessellatus,21.1,25.0,25.1,oct_apr,-27.0,0.56,0.47,-0.64,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,25.0,Henle 1990
Diplodactylidae,Diplodactylus vittatus,14.2,20.9,20.4,oct_apr,-30.1,0.60,0.34,NA,mean species SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,20.9,Werner and Whitaker 1978
Diplodactylidae,Hesperoedura reticulata,16.5,22.5,13.8,oct_apr,-33.0,0.83,0.70,-0.48,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,22.5,"How and Kitchener 1983, Kitchener et al. 1988"
Diplodactylidae,Hoplodactylus duvaucelii,14.9,15.0,17.4,oct_apr,-36.2,1.89,1.53,0.00,female SVL,yes,Nocturnal,air,Omnivorous,Viviparous,LR/lc,not specified,15.0,"Werner and Whitaker 1978, Cree 1994"
Diplodactylidae,Lucasium damaeum,19.6,24.2,22.7,oct_apr,-29.0,0.55,0.45,-0.70,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,24.2,"Pianka 1986, Greer 1989"
Diplodactylidae,Lucasium steindachneri,21.5,16.8,24.9,oct_apr,-25.0,0.59,0.42,-0.48,mean species mass,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,16.8,Greer 1989
Diplodactylidae,Lucasium stenodactylum,23.8,27.1,23.8,all,-23.0,0.66,0.45,-0.56,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,27.1,Huey and Pianka 2007
Diplodactylidae,Naultinus manukanus,10.2,23.8,12.6,oct_apr,-42.0,1.00,0.88,-0.05,female SVL,yes,Diurnal,air,Carnivorous,Viviparous,DD,unknown,23.8,Werner and Whitaker 1978
Diplodactylidae,Naultinus rudis,9.0,29.6,11.7,oct_apr,-41.8,0.85,0.73,NA,mean species SVL,yes,Diurnal,air,NA,Viviparous,LR/lc,not specified,29.6,Werner and Whitaker 1978
Diplodactylidae,Naultinus stellatus,10.1,22.9,12.6,oct_apr,-41.3,0.98,0.71,NA,mean species SVL,yes,Diurnal,air,Carnivorous,Viviparous,NE,NE,22.9,Werner and Whitaker 1978
Diplodactylidae,Oedura marmorata,23.6,25.4,23.6,all,-23.0,1.40,1.22,0.01,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,25.4,"Greer 1989, Heatwole and Taylor 1987"
Diplodactylidae,Oedura tryoni,18.4,21.8,20.9,oct_apr,-28.0,1.09,0.98,-0.09,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,21.8,Heatwole and Taylor 1987
Diplodactylidae,Rhynchoedura ornata,22.3,30.7,26.3,oct_apr,-25.0,0.54,0.30,-0.56,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,30.7,"Huey and Pianka 2007, Pianka 1986, Greer 1989, Werner and Whitaker 1978, Heatwole and Taylor 1987"
Diplodactylidae,Strophurus ciliaris,24.1,26.2,24.1,all,-23.0,1.12,0.86,-0.29,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,LC,unknown,26.2,"Huey and Pianka 2007, Pianka 1986, Greer 1989, Werner and Whitaker 1978, Heatwole and Taylor 1987"
Diplodactylidae,Strophurus elderi,21.7,27.2,26.0,oct_apr,-26.0,0.34,0.19,-0.88,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,27.2,"Pianka 1986, Greer 1989, Werner and Whitaker 1978, Heatwole and Taylor 1987"
Diplodactylidae,Strophurus spinigerus,18.4,19.6,21.0,oct_apr,-32.0,0.97,0.63,-0.67,female SVL,no,Nocturnal,air,Omnivorous,Oviparous,NE,NE,19.6,"Greer 1989, Heatwole and Taylor 1987, Angilletta and Werner 1998"
Diplodactylidae,Strophurus strophurus,22.3,25.3,28.3,oct_apr,-26.0,0.92,0.73,-0.43,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,25.3,"Pianka 1986, Greer 1989, Werner and Whitaker 1978, Heatwole and Taylor 1987"
Diplodactylidae,Woodworthia maculatus,13.3,19.7,16.1,oct_apr,-39.0,1.12,0.67,-0.64,female SVL,yes,Nocturnal,air,Omnivorous,Viviparous,NE,NE,19.7,"Cree and Hare 2010, Cree 1994, Werner and Whitaker 1978, Rock and Cree 2008, Blouin-Demers and Nadeau 2005"
Eublepharidae,Coleonyx brevis,19.1,27.6,23.7,mar_sep,29.0,0.74,0.42,-0.77,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,LC,stable,27.6,"Degenhardt et al. 1996, Huey et al. 1989, Avery 1982, Brattstrom 1965"
Eublepharidae,Coleonyx mitratus,25.2,25.3,25.2,all,13.0,1.27,0.93,-0.13,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,25.3,Savage 2002
Eublepharidae,Coleonyx reticulatus,19.3,28.0,22.7,mar_sep,28.0,1.22,1.12,0.01,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,LC,stable,28.0,Jones and Lovich 2009
Eublepharidae,Coleonyx variegatus,18.5,26.1,22.6,mar_sep,32.0,0.94,0.58,-0.51,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,LC,stable,26.1,"Pianka 1986, Werner and Whitaker 1978, Degenhardt et al. 1996, Werner 1976, Huey et al. 1989, Cunningham 1966, Brattstrom 1965"
Eublepharidae,Eublepharis angramainyu,20.5,33.5,25.8,mar_sep,34.0,2.06,1.96,1.16,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,DD,decreasing,33.5,"Werner and Whitaker 1978, Avery 1982"
Eublepharidae,Goniurosaurus kuroiwae,22.2,26.0,24.5,mar_sep,27.0,1.31,1.12,-0.26,female SVL,yes,Nocturnal,air,Carnivorous,Oviparous,EN,unknown,26.0,Werner et al. 2006
Gekkoninae,Alsophylax pipiens,4.3,25.2,15.4,apr_aug,47.0,0.23,-0.02,-0.84,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,LC,stable,25.2,Litvinov 2007
Gekkoninae,Bunopus spatalurus,24.0,35.0,24.0,all,20.0,0.85,0.57,NA,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,35.0,Avery 1982
Gekkoninae,Bunopus tuberculatus,20.3,30.0,24.8,mar_sep,28.0,0.71,0.16,-0.62,female SVL,no,Cathemeral,air,Carnivorous,Oviparous,LC,stable,30.0,Arnold 1984
Gekkoninae,Chondrodactylus angulifer,17.6,25.6,21.1,oct_apr,-27.0,1.43,1.00,0.12,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,LC,unknown,25.6,"Huey and Pianka 2007, Pianka 1986, Werner and Whitaker 1978, Brattstrom 1965"
Gekkoninae,Chondrodactylus bibronii,16.8,29.8,20.2,oct_apr,-31.0,1.28,1.04,-0.34,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,29.8,"Huey and Pianka 2007, Muchlinski et al. 1995, Pianka 1986, "
Gekkoninae,Christinus guentheri,18.8,20.3,20.5,oct_apr,-32.0,1.30,0.82,-0.22,female SVL,yes,Nocturnal,air,Omnivorous,Oviparous,VU,NA,20.3,Greer 1989
Gekkoninae,Christinus marmoratus,16.4,24.0,19.2,oct_apr,-34.0,0.85,0.49,-0.92,female SVL,no,Nocturnal,air,Omnivorous,Oviparous,NE,NE,24.0,"Greer 1989, Werner and Whitaker 1978, Heatwole and Taylor 1987, Angilletta and Werner 1998, Blouin-Demers and Nadeau 2005"
Gekkoninae,Colopus wahlbergii,21.0,25.1,21.0,all,-20.0,0.69,0.61,NA,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,25.1,"Huey and Pianka 2007, Pianka 1986"
Gekkoninae,Cyrtodactylus fraenatus,23.4,25.2,23.4,all,7.2,1.28,1.14,0.20,female SVL,yes,Nocturnal,air,Carnivorous,Oviparous,NE,NE,25.2,Meek et al. 2005
Gekkoninae,Cyrtodactylus martinstolli,17.5,15.0,22.3,mar_sep,26.9,1.04,0.85,NA,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,15.0,Schleich and Kastle 2002
Gekkoninae,Cyrtodactylus soba,23.6,25.6,23.6,all,7.4,1.35,1.25,0.17,female SVL,yes,Nocturnal,air,Carnivorous,Oviparous,NE,NE,25.6,Meek et al. 2005
Gekkoninae,Geckoella triedrus,25.4,23.4,25.4,all,7.0,0.71,0.47,-0.48,female SVL,yes,Nocturnal,air,Carnivorous,Oviparous,NT,unknown,23.4,Meek et al. 2005
Gekkoninae,Gehyra punctata,23.0,27.6,27.2,oct_apr,-25.0,0.76,0.15,-0.48,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,27.6,"Heatwole and Taylor 1987, Angilletta and Werner 1998: 20.6"
Gekkoninae,Gehyra variegata,19.0,27.7,22.1,oct_apr,-29.0,0.87,0.43,-0.48,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,27.7,"Huey and Pianka 2007, Pianka 1986, Greer 1989, Werner and Whitaker 1978, Heatwole and Taylor 1987, Angilletta and Werner 1998, Kitchener et al. 1988"
Gekkoninae,Hemidactylus angulatus,26.3,30.9,26.3,all,10.0,0.87,0.56,-0.59,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,30.9,Henderson and Powell 2009
Gekkoninae,Hemidactylus depressus,25.9,27.3,25.9,all,7.0,1.09,0.90,NA,female SVL,yes,Nocturnal,air,Carnivorous,Oviparous,LC,stable,27.3,Meek et al. 2005
Gekkoninae,Hemidactylus flaviviridis,21.5,27.2,25.1,mar_sep,25.0,1.22,0.72,-0.36,female SVL,no,Cathemeral,air,Carnivorous,Oviparous,NE,NE,27.2,Zari 1997
Gekkoninae,Hemidactylus frenatus,25.0,27.0,25.0,all,4.0,0.80,0.51,-0.71,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,LC,stable,27.0,"Schleich and Kastle 2002 , Huey et al. 1989, Savage 2002, Werner 1980"
Gekkoninae,Hemidactylus mabouia,23.0,29.3,23.0,all,-7.0,1.15,0.57,-0.62,female SVL,no,Cathemeral,air,Carnivorous,Oviparous,NE,NE,29.3,Vitt 1995
Gekkoninae,Hemidactylus turcicus,18.9,29.6,22.2,mar_sep,31.0,0.69,0.36,-0.38,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,LC,increasing,29.6,"Huey et al. 1989, "
Gekkoninae,Heteronotia binoei,21.8,31.2,24.3,oct_apr,-25.0,0.56,0.41,-0.68,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,31.2,"Pianka 1986, Greer 1989, Werner and Whitaker 1978, Heatwole and Taylor 1987"
Gekkoninae,Lepidodactylus gardineri,27.1,28.4,27.1,all,18.0,0.53,0.45,NA,female SVL,yes,Nocturnal,air,Carnivorous,Oviparous,NE,NE,28.4,Zug 1991
Gekkoninae,Lepidodactylus lugubris,25.3,29.5,25.3,all,-8.0,0.47,0.20,-0.84,female SVL,no,Nocturnal,air,Omnivorous,Oviparous,NE,NE,29.5,Werner 1980
Gekkoninae,Lygodactylus capensis,21.0,36.0,21.0,all,-17.0,0.27,-0.20,-1.08,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,36.0,Pianka 1986
Gekkoninae,Lygodactylus klugei,22.9,34.0,22.9,all,-10.9,-0.01,-0.18,-1.08,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,34.0,"Vitt 1995, Rocha et al. 2009"
Gekkoninae,Mediodactylus amictophole,16.3,34.7,21.5,mar_sep,33.5,0.15,0.02,NA,female SVL,no,Diurnal,air,Carnivorous,Oviparous,EN,decreasing,34.7,"Meiri, own data"
Gekkoninae,Mediodactylus kotschyi,13.4,26.3,17.0,mar_sep,38.6,0.59,0.20,-0.83,female SVL,no,Cathemeral,air,Carnivorous,Oviparous,LC,unknown,26.3,"Arnold 1987, Meiri, own data"
Gekkoninae,Pachydactylus capensis,16.8,25.4,20.4,oct_apr,-28.0,0.82,0.60,-0.54,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,25.4,"Huey and Pianka 2007, Pianka 1986"
Gekkoninae,Pachydactylus rangei,16.3,15.0,17.9,oct_apr,-29.0,1.01,0.86,-0.34,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,15.0,Huey and Pianka 2007
Gekkoninae,Pachydactylus rugosus,19.2,25.6,23.0,oct_apr,-29.0,0.76,0.59,NA,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,25.6,"Huey and Pianka 2007, Pianka 1986"
Gekkoninae,Phelsuma astriata,25.9,29.4,25.9,all,-5.0,0.67,0.44,NA,female SVL,yes,Diurnal,air,Omnivorous,Oviparous,LC,stable,29.4,Crawford and Thorpe 1979
Gekkoninae,Phelsuma laticauda,25.0,22.3,25.0,all,-14.0,0.76,0.18,NA,female SVL,yes,Diurnal,air,Omnivorous,Oviparous,LC,stable,22.3,Seifan et al. 2010
Gekkoninae,Phelsuma madagascariensis,24.6,31.6,24.6,all,-16.0,1.50,1.10,-0.16,female SVL,yes,Diurnal,air,Omnivorous,Oviparous,LC,decreasing,31.6,Crawford and Thorpe 1979
Gekkoninae,Pseudoceramodactylus khobarensis,26.3,30.0,29.5,mar_sep,25.0,0.71,0.54,NA,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,30.0,Arnold 1984
Gekkoninae,Ptenopus carpi,18.9,16.5,18.9,all,-20.6,0.68,0.51,NA,mean species SVL,no,Nocturnal,air,NA,Oviparous,NE,NE,16.5,"Werner and Whitaker 1978, Avery 1982"
Gekkoninae,Ptenopus garrulus,18.7,21.9,22.1,oct_apr,-27.0,0.72,0.35,-0.48,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,21.9,"Pianka 1986, Werner and Whitaker 1978, Avery 1982, Brain 1962"
Gekkoninae,Rhoptropus afer,19.0,31.5,19.0,all,-21.0,0.56,0.32,NA,mean species SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,31.5,"Werner and Whitaker 1978, Brain 1962"
Gekkoninae,Stenodactylus doriae,23.0,28.2,26.4,mar_sep,25.0,1.06,0.73,-0.20,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,28.2,Arnold 1984
Gekkoninae,Stenodactylus leptocosymbotus,25.9,26.8,25.9,all,22.0,1.01,0.86,NA,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,26.8,Arnold 1984
Gekkoninae,Stenodactylus petrii,22.8,20.6,24.9,mar_sep,26.0,0.87,0.63,NA,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,20.6,"Meiri, own data"
Gekkoninae,Stenodactylus sthenodactylus,22.7,21.2,24.2,mar_sep,25.0,0.67,0.43,-0.56,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,21.2,"Meiri, own data"
Gekkoninae,Tropiocolotes nattereri,20.0,31.8,22.7,mar_sep,29.0,-0.16,-0.38,-1.08,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,31.8,"Meiri, own data"
Gerrhosauridae,Gerrhosaurus flavigularis,20.9,33.3,20.9,all,-15.0,1.90,1.68,0.37,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,33.3,"Curry-Lindahl 1979, Avery 1982, Truter 2011, Brattstrom 196"
Gerrhosauridae,Gerrhosaurus major,23.3,31.7,23.3,all,-7.0,2.56,2.31,NA,female SVL,no,Diurnal,air,Omnivorous,Oviparous,NE,NE,31.7,"Muchlinski et al. 1995, Bowker 1984, Truter 2011"
Gerrhosauridae,Gerrhosaurus nigrolineatus,22.0,34.2,22.0,all,-14.0,2.20,1.21,0.35,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,34.2,"Bowker 1984, Truter 2011"
Gymnophthalmidae,Alopoglossus angulatus,25.2,26.0,25.2,all,-4.0,0.72,0.52,-0.96,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,unknown,26.0,Vitt and Zani 1996
Gymnophthalmidae,Alopoglossus atriventris,24.3,26.2,24.3,all,-4.0,0.52,0.38,NA,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,26.2,"Anaya-Rojas et al. 2010, Vitt and Zani 1996"
Gymnophthalmidae,Anadia brevifrontalis,16.2,21.5,16.2,all,8.6,1.41,0.88,NA,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,21.5,Swain et al. 1980
Gymnophthalmidae,Arthrosaura reticulata,25.2,26.7,25.2,all,-4.0,0.93,0.61,-0.68,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,26.7,Vitt and Zani 1996
Gymnophthalmidae,Bachia heteropa,24.8,28.9,24.8,all,7.0,0.26,-0.32,NA,mean species SVL,no,Diurnal,earth,Carnivorous,Oviparous,NE,NE,28.9,Bentz et al. 2011
Gymnophthalmidae,Cercosaura eigenmanni,24.4,28.6,24.4,all,-13.0,0.49,0.30,-0.88,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,28.6,"Anaya-Rojas et al. 2010, "
Gymnophthalmidae,Cercosaura manicata,19.4,29.7,19.4,all,,0.97,0.76,-0.51,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,29.7,"Fitch 1968, "
Gymnophthalmidae,Cercosaura oshaughnessyi,22.0,29.5,22.0,all,-1.0,0.46,-0.06,NA,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,29.5,"Fitch 1968, Vitt and Zani 1996"
Gymnophthalmidae,Micrablepharus atticolus,23.7,34.6,23.7,all,-16.0,0.22,0.07,NA,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,34.6,Vieira et al. 2000
Gymnophthalmidae,Micrablepharus maximiliani,24.2,29.1,24.2,all,-19.0,0.15,0.00,NA,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,29.1,Mesquita et al. 2006
Gymnophthalmidae,Potamites ecpleopus,22.1,27.2,22.1,all,-6.0,1.18,0.65,-0.80,female SVL,no,Diurnal,water,Carnivorous,Oviparous,NE,NE,27.2,"Anaya-Rojas et al. 2010, Fitch 1968, Vitt and Zani 1996, Rocha et al. 2009, Vitt and Avila-Pires 1998"
Gymnophthalmidae,Potamites juruazensis,22.2,26.3,22.2,all,-10.0,0.64,0.54,NA,female SVL,no,Diurnal,water,Carnivorous,Oviparous,NE,NE,26.3,Vitt and Avila-Pires 1998
Gymnophthalmidae,Proctoporus sucullucu,9.5,22.6,9.5,all,-14.0,0.59,0.32,-0.60,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,22.6,"Tiffany Doan, own data"
Gymnophthalmidae,Proctoporus unsaacae,9.0,23.1,9.0,all,-13.0,0.47,0.21,-0.83,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,23.1,"Tiffany Doan, own data"
Gymnophthalmidae,Ptychoglossus bicolor,22.3,23.5,22.3,all,3.0,0.76,0.59,-0.45,female SVL,no,Diurnal,air,Carnivorous,Oviparous,VU,unknown,23.5,Anaya-Rojas et al. 2010
Gymnophthalmidae,Tretioscincus agilis,26.3,28.2,26.3,all,2.0,0.74,0.14,NA,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,28.2,Fitch 1968
Helodermatidae,Heloderma horridum,23.9,29.5,23.9,all,21.0,3.48,3.00,1.42,female SVL,no,Cathemeral,air,Carnivorous,Oviparous,LC,unknown,29.5,Pianka and King 2004
Helodermatidae,Heloderma suspectum,18.6,28.6,23.8,mar_sep,32.0,2.98,2.73,1.66,female SVL,no,Cathemeral,air,Carnivorous,Oviparous,NT,decreasing,28.6,"Jones and Lovich 2009, Degenhardt et al. 1996, Avery 1982, Pianka and King 2004, Brattstrom 1965"
Hoplocercidae,Enyalioides laticeps,24.3,25.0,24.3,all,-2.0,2.09,1.64,0.26,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,25.0,Vitt and Zani 1996
Iguanidae,Amblyrhynchus cristatus,21.0,31.7,21.0,all,-0.6,3.87,3.15,1.77,female SVL,yes,Diurnal,water,Herbivorous,Oviparous,VU,unknown,31.7,"Curry-Lindahl 1979, Avery 1982, Brattstrom 1965"
Iguanidae,Brachylophus vitiensis,25.1,32.0,25.1,all,-17.0,2.75,2.57,1.32,female SVL,yes,Diurnal,air,Herbivorous,Oviparous,CR,NA,32.0,Gibbons 1984
Iguanidae,Conolophus pallidus,23.1,34.5,23.1,all,-0.8,3.72,3.20,1.65,female SVL,yes,Diurnal,air,Herbivorous,Oviparous,VU,NA,34.5,"Brattstrom 1965, Christian et al. 1985"
Iguanidae,Conolophus subcristatus,22.9,35.2,22.9,all,-0.5,3.80,3.38,1.64,female SVL,yes,Diurnal,air,Herbivorous,Oviparous,VU,NA,35.2,Snell and Christian 1985
Iguanidae,Ctenosaura hemilopha,22.4,37.1,24.7,mar_sep,24.0,3.44,2.35,NA,female SVL,no,Diurnal,air,Herbivorous,Oviparous,NE,NE,37.1,Soule 1963
Iguanidae,Ctenosaura similis,24.2,36.5,24.2,all,14.0,3.70,3.09,0.83,female SVL,no,Diurnal,air,Herbivorous,Oviparous,LC,stable,36.5,Savage 2002
Iguanidae,Cyclura carinata,25.9,37.7,25.9,all,22.0,3.75,2.71,1.35,female SVL,yes,Diurnal,air,Herbivorous,Oviparous,CR,decreasing,37.7,Auffenberg 1982
Iguanidae,Cyclura nubila,25.3,38.6,25.3,all,21.0,4.25,3.19,1.68,female SVL,yes,Diurnal,air,Herbivorous,Oviparous,VU,NA,38.6,"Henderson and Powell 2009, Christian et al. 1986"
Iguanidae,Cyclura pinguis,26.5,35.3,26.5,all,19.0,3.87,3.61,1.61,female SVL,yes,Diurnal,air,Herbivorous,Oviparous,CR,NA,35.3,Carey 1975
Iguanidae,Dipsosaurus dorsalis,19.2,39.6,23.7,mar_sep,32.0,2.20,1.82,0.67,female SVL,no,Diurnal,air,Herbivorous,Oviparous,LC,stable,39.6,"Muchlinski et al. 1995, Pianka 1986, Curry-Lindahl 1979, Cunningham 1966, Brattstrom 1965"
Iguanidae,Iguana delicatissima,25.3,38.0,25.3,all,17.0,3.54,3.27,1.27,female SVL,yes,Diurnal,air,Herbivorous,Oviparous,EN,decreasing,38.0,Henderson and Powell 2009
Iguanidae,Iguana iguana,24.1,34.8,24.1,all,-6.0,3.91,3.14,1.32,female SVL,no,Diurnal,air,Herbivorous,Oviparous,NE,NE,34.8,"Savage 2002, Brattstrom 1965"
Iguanidae,Sauromalus ater,18.6,37.1,23.0,mar_sep,33.0,2.60,2.25,0.81,female SVL,no,Diurnal,air,Herbivorous,Oviparous,LC,stable,37.1,"Sinervo et al. 2010 (obesus), Brattstrom 1965 (obesus)"
Iguanidae,Sauromalus varius,22.0,36.0,24.6,mar_sep,29.0,3.22,3.05,1.27,female SVL,no,Diurnal,air,Herbivorous,Oviparous,NE,NE,36.0,Case 1982
Lacertidae,Acanthodactylus aegyptius,20.44,32.7,23.58,mar_sep,30.2,0.52,0.22,NA,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,32.7,"Meiri, own data"
Lacertidae,Acanthodactylus beershebensis,19.3,34.1,22.0,mar_sep,31.0,1.22,0.84,-0.42,female SVL,no,Diurnal,air,Carnivorous,Oviparous,CR,decreasing,34.1,"Duvdevani and Borut 1974, Meiri, own data"
Lacertidae,Acanthodactylus boskianus,21.7,36.2,24.8,mar_sep,26.0,1.29,0.71,-0.14,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,36.2,"Perez-Mellado 1992, Duvdevani and Borut 1974, Verwaijen and Van Damme 2007, Perry et al. 1990, Meiri, own data"
Lacertidae,Acanthodactylus erythrurus,14.8,33.0,18.3,mar_sep,37.0,1.14,0.88,-0.23,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,stable,33.0,"Belliure 2006, Busack 1976, Verwaijen and Van Damme 2007"
Lacertidae,Acanthodactylus longipes,25.3,34.3,25.3,all,22.0,0.81,0.38,-0.52,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,34.3,Perez-Mellado 1992
Lacertidae,Acanthodactylus opheodurus,21.8,33.1,26.4,mar_sep,26.0,0.75,0.62,NA,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,33.1,"Meiri, own data"
Lacertidae,Acanthodactylus pardalis,19.4,35.3,22.2,mar_sep,31.0,1.02,0.73,-0.18,female SVL,no,Diurnal,air,Carnivorous,Oviparous,VU,decreasing,35.3,Schleich et al. 1996
Lacertidae,Acanthodactylus schmidti,23.3,38.4,27.7,mar_sep,25.0,1.42,1.23,-0.02,mean species SVL,no,Diurnal,air,Omnivorous,Oviparous,NE,NE,38.4,"Arnold 1984, Anderson 1963"
