Genus,Species,Tmax,max_metric,max_interval_after_LT0,Tmax_2,max_metric_2,max_interval_before_LT100,max_pretreatment,max_ramp,lat_max,long_max,elevation_max,REF_max,location_max,tmin,min_metric,min_interval_after_LT0,tmin_2,min_metric_2,min_interval_before_LT100,min_pretreatment,ramp_min,lat_min,long_min,elevation_min,REF_min,location_min,Phylum,Class,Order,Family,Quality of UTNZ,species_full,Genus_old,Species_old,species_full_old,Realm,Realm.1,Realm.2,Entry number
Abra,tenuis,33.44,LT50,,,,,5,,53,5,0,Compton_et_al2007,1,-1.68,LT50,,,,,5,,53,5,0,Compton_et_al2007,1,Mollusca,Bivalvia,Veneroida,Semelidae,,Abra_tenuis,Abra,tenuis,Abra_tenuis,Intertidal,Marine,Marine,1
Abrotanella,patearoa,,,,,,,,,,,,,,-7.5,LT50,,,,,F,0.083,-45.4,170.1,1240,Bannister_et_al_2005,1,Streptophyta,Spermatophyta,Asterales,Asteraceae,,Abrotanella_patearoa,Abrotanella,patearoa,Abrotanella_patearoa,Terrestrial,Terrestrial,Terrestrial,1
Abrothrix,andinus,34,UTNZ,,,,,,,-34.46,-71.22,,Bozinovic_&_Rosenmann_1988,2,26.8,LTNZ,,,,,,,-34.46,-71.22,,Bozinovic_&_Rosenmann_1988,2,Chordata,Mammalia,Rodentia,Cricetidae,1,Abrothrix_andinus,Abrothrix,andinus,Abrothrix_andinus,Terrestrial,Terrestrial,Terrestrial,1
Abrothrix,longipilis,32,UTNZ,,,,,,,-45.54,-71.22,,Bozinovic_&_Rosenmann_1988,2,27.3,LTNZ,,,,,,,-45.54,-71.22,,Bozinovic_&_Rosenmann_1988,2,Chordata,Mammalia,Rodentia,Cricetidae,1,Abrothrix_longipilis,Abrothrix,longipilis,Abrothrix_longipilis,Terrestrial,Terrestrial,Terrestrial,1
Abrothrix,olivaceus,,,,,,,,,,,,,,26.3,LTNZ,,,,,,,-34.46,-71.23,,Bozinovic_&_Rosenmann_1988,2,Chordata,Mammalia,Rodentia,Cricetidae,,Abrothrix_olivaceus,Abrothrix,olivaceus,Abrothrix_olivaceus,Terrestrial,Terrestrial,Terrestrial,1
Abudefduf,saxatilis,40,LT100,,,,,,,9.5,-78,0,Scholander_et_al1953,2,10,LT100,,,,,,,9.5,-78,0,Scholander_et_al1953,2,Chordata,Actinopteri,Perciformes,Pomacentridae,,Abudefduf_saxatilis,Abudefduf,saxatilis,Abudefduf_saxatilis,Marine,Marine,Marine,1
Acacia,melanoxylon,,,,,,,,,,,,,,-7.9,LT50,,,,,F,,,,,Bannister_&_Lord_2010,2,Streptophyta,Spermatophyta,Fabales,Fabaceae,,Acacia_melanoxylon,Acacia,melanoxylon,Acacia_melanoxylon,Terrestrial,Terrestrial,Terrestrial,1
Acanthodactylus,erythrurus,46.3,ctmax,,,,,35,1,36.97,-2.4,585,Bauwens_et_al_1995,2,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Lacertidae,,Acanthodactylus_erythrurus,Acanthodactylus,erythrurus,Acanthodactylus_erythrurus,Terrestrial,Terrestrial,Terrestrial,1
Acanthomyops,sp.1,40,ctmax,,,,,25,0.2,36.04,-79.07,180,Diamond_et_al_2012,1,,,,,,,,,,,,,,Arthropoda,Insecta,Hymenoptera,Formicidae,,Acanthomyops_sp.1,Acanthomyops,sp.,Acanthomyops_sp.1,Terrestrial,Terrestrial,Terrestrial,1
Acanthophora,spicifera,35,LT0,5,40,LT100,5,,,17.953043,-67.154763,0,Biebl_1962,1,14,LT0,3,11,LT100,3,,,17.953043,-67.154763,0,Biebl_1962,1,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,,Acanthophora_spicifera,Acanthophora,spicifera,Acanthophora_spicifera,Intertidal,Marine,Marine,1
Acar,domingensis,39,ctmax,,,,,26,0.017,-7.89,-14.38,0,Morley_et_al_2014,1,,,,,,,,,,,,,,Mollusca,Bivalvia,Arcoida,Arcidae,,Acar_domingensis,Acar,domingensis,Acar_domingensis,Marine,Marine,Marine,1
Acca,sellowiana,,,,,,,,,,,,,,-12.5,LT50,,,,,F,,,,,Bannister_&_Lord_2010,2,Streptophyta,Spermatophyta,Myrtales,Myrtaceae,,Acca_sellowiana,Acca,sellowiana,Acca_sellowiana,Terrestrial,Terrestrial,Terrestrial,1
Acer,saccharum,,,,,,,,,,,,,,-39,LT50,,,,,,,43.04,-73,340,Gurney_et_al_2011,1,Streptophyta,Spermatophyta,Sapindales,Aceraceae,,Acer_saccharum,Acer,saccharum,Acer_saccharum,Terrestrial,Terrestrial,Terrestrial,1
Aceros,plicatus,,,,,,,,,,,,,,16,LTNZ,,,,,,,-5,144.28,,McNab_2001,1,Chordata,Aves,Bucerotiformes,Bucerotidae,,Aceros_plicatus,Aceros,plicatus,Aceros_plicatus,Terrestrial,Terrestrial,Terrestrial,1
Achillea,millefolium,41.5,ct50,,,,,,0.5,40.3,-3.7,600,Godoy_et_al_2011,,,,,,,,,,,,,,,Streptophyta,Spermatophyta,Asterales,Asteraceae,,Achillea_millefolium,Achillea,millefolium,Achillea_millefolium,Terrestrial,Terrestrial,Terrestrial,1
Aciphylla,hectorii,,,,,,,,,,,,,,-8.4,LT50,,,,,F,0.083,-45.4,170.1,1240,Bannister_et_al_2005,1,Streptophyta,Spermatophyta,Apiales,Apiaceae,,Aciphylla_hectorii,Aciphylla,hectorii,Aciphylla_hectorii,Terrestrial,Terrestrial,Terrestrial,1
Ackama,rosifolia,,,,,,,,,,,,,,-5.8,LT50,,,,,F,,-45.9,170.5,70,Bannister_&_Lord_2010,1,Streptophyta,Spermatophyta,Oxalidales,Cunoniaceae,,Ackama_rosifolia,Ackama,rosifolia,Ackama_rosifolia,Terrestrial,Terrestrial,Terrestrial,1
Acmadenia,heterophylla,,,,,,,,,,,,,,-4.9,LT50,,,,,F,,,,,Bannister_&_Lord_2010,2,Streptophyta,Spermatophyta,Sapindales,Rutaceae,,Acmadenia_heterophylla,Acmadenia,heterophylla,Acmadenia_heterophylla,Terrestrial,Terrestrial,Terrestrial,1
Acmena,smithii,,,,,,,,,,,,,,-4.4,LT50,,,,,F,,,,,Bannister_&_Lord_2010,2,Streptophyta,Spermatophyta,Myrtales,Myrtaceae,,Acmena_smithii,Acmena,smithii,Acmena_smithii,Terrestrial,Terrestrial,Terrestrial,1
Acmispon,glaber,53.2,ctmax,,,,,F,,33.5,-117.1,375,Knight_&_Ackerly_2002,1,,,,,,,,,,,,,,Streptophyta,Spermatophyta,Fabales,Fabaceae,,Acmispon_glaber,Acmispon,glaber,Acmispon_glaber,Terrestrial,Terrestrial,Terrestrial,1
Acomys,cahirinus,,,,,,,,,,,,,,27,LTNZ,,,,,,,30.03,35.02,,Shkolnik_&_Borut_1969,2,Chordata,Mammalia,Rodentia,Muridae,,Acomys_cahirinus,Acomys,cahirinus,Acomys_cahirinus,Terrestrial,Terrestrial,Terrestrial,1
Acomys,Russatus,37,UTNZ,,,,,28,,31.46,35.38,,Haim_&_Borut_1981,1,33,LTNZ,,,,,28,,31.46,35.38,,Haim_&_Borut_1981,1,Chordata,Mammalia,Rodentia,Muridae,,Acomys_Russatus,Acomys,Russatus,Acomys_Russatus,Terrestrial,Terrestrial,Terrestrial,1
Acontias,meleagris,41,ctmax,,,,,,1,-33.1,18.03,30,Withers_1981,1,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Scincidae,,Acontias_meleagris,Acontias,meleagris,Acontias_meleagris,Terrestrial,Terrestrial,Terrestrial,1
Acradenia,frankliniae,,,,,,,,,,,,,,-8.1,LT50,,,,,F,,-41.7,145.1,300,Bannister_&_Lord_2010,2,Streptophyta,Spermatophyta,Sapindales,Rutaceae,,Acradenia_frankliniae,Acradenia,frankliniae,Acradenia_frankliniae,Terrestrial,Terrestrial,Terrestrial,1
Acridotheres,cristatellus,32.5,UTNZ,,,,,F,,27.29,120.51,,Lin_et_al_2010,1,25,LTNZ,,,,,F,,27.29,120.51,,Lin_et_al_2010,1,Chordata,Aves,Passeriformes,Sturnidae,1,Acridotheres_cristatellus,Acridotheres,cristatellus,Acridotheres_cristatellus,Terrestrial,Terrestrial,Terrestrial,1
Acris,crepitans,,,,,,,,,,,,,,-1,LT50,,,,,23,,29.95,-90.08,304.8,Brattstrom_1968,,Chordata,Amphibia,Anura,Hylidae,,Acris_crepitans,Acris,crepitans,Acris_crepitans,Terrestrial,Terrestrial,Terrestrial,1
Acrobates,pygmaeus,35.1,UTNZ,,,,,20,,-37.57,145.33,,Fleming_1985,1,34,LTNZ,,,,,20,,-37.57,145.33,,Fleming_1985,1,Chordata,Mammalia,Diprotodontia,Acrobatidae,2,Acrobates_pygmaeus,Acrobates,pygmaeus,Acrobates_pygmaeus,Terrestrial,Terrestrial,Terrestrial,1
Acrochaetium,secundatum,17,LT0,1,,,,,,69.241375,-53.55309,0,Bischoff_&_Wiencke_1993,1,,,,,,,,,,,,,,Rhodophyta,Florideophyceae,Acrochaetiales,Acrochaetiaceae,,Acrochaetium_secundatum,Acrochaetium,secundatum,Acrochaetium_secundatum,Marine,Marine,Marine,1
Acrosiphonia,arcta,22,LT0,1,23,LT100,1,,,66.817989,-53.495628,0,Bischoff_&_Wiencke_1993,1,,,,,,,,,,,,,,Chlorophyta,Ulvophyceae,Acrosiphoniales,Acrosiphoniales,,Acrosiphonia_arcta,Acrosiphonia,arcta,Acrosiphonia_arcta,Intertidal,Marine,Marine,1
Acrosiphonia,sonderi,23,LT0,1,,,,,,69.241375,-53.55309,0,Bischoff_&_Wiencke_1993,1,,,,,,,,,,,,,,Chlorophyta,Ulvophyceae,Acrosiphoniales,Acrosiphoniales,,Acrosiphonia_sonderi,Acrosiphonia,sonderi,Acrosiphonia_sonderi,Marine,Marine,Marine,1
Acrothrix,gracilis,15,LT0,5,20,LT100,5,,,47.53333,-52.616667,0,Forward_&_South_1985,1,,,,,,,,,,,,,,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,,Acrothrix_gracilis,Acrothrix,gracilis,Acrothrix_gracilis,Intertidal,Marine,Marine,1
Adamussium,colbecki,2,ctmax,,,,,,0.00017,-67.5,-68,0,Peck_et_al_2004,1,-1.5,ctmin,,,,,,,-67.5,-68,0,Peck_et_al_2004,1,Mollusca,Bivalvia,Pectinoida,Pectinidae,,Adamussium_colbecki,Adamussium,colbecki,Adamussium_colbecki,Marine,Marine,Marine,1
Adelotus,brevis,31.2,ctmax,,,,,25,1,-33.43,151.35,304.8,Brattstrom_1970,1,,,,,,,0,,-33.43,151.35,304.8,Brattstrom_1970,,Chordata,Amphibia,Anura,Myobatrachidae,,Adelotus_brevis,Adelotus,brevis,Adelotus_brevis,Terrestrial,Terrestrial,Terrestrial,1
Adenandra,uniflora,,,,,,,,,,,,,,-4.6,LT50,,,,,F,,,,,Bannister_&_Lord_2010,2,Streptophyta,Spermatophyta,Sapindales,Rutaceae,,Adenandra_uniflora,Adenandra,uniflora,Adenandra_uniflora,Terrestrial,Terrestrial,Terrestrial,1
Adenocystis,utricularis,21.2,LT0,1,,,,20,,-42.769448,-65.031717,0,Peters_&_Breeman_1993,1,,,,,,,,,,,,,,Phaeophyceae,Phaeophyceae,Ectocarpales,Adenocystaceae,,Adenocystis_utricularis,Adenocystis,utricularis,Adenocystis_utricularis,Intertidal,Marine,Marine,1
Adenostoma,fasciculatum,64.1,ctmax,,,,,F,,33.5,-117.1,375,Knight_&_Ackerly_2002,1,,,,,,,,,,,,,,Streptophyta,Spermatophyta,Rosales,Rosaceae,,Adenostoma_fasciculatum,Adenostoma,ÿfasciculatum,Adenostoma_fasciculatum,Terrestrial,Terrestrial,Terrestrial,1
Aegolius,acadicus,32,UTNZ,,,,,23,,42.28,-83.74,,Ligon_1969,1,24,LTNZ,,,,,23,,42.28,-83.74,,Ligon_1969,1,Chordata,Aves,Strigiformes,Strigidae,1,Aegolius_acadicus,Aegolius,acadicus,Aegolius_acadicus,Terrestrial,Terrestrial,Terrestrial,1
Aegolius,funereus,,,,,,,,,,,,,,10,LTNZ,,,,,,,64.48,24.38,,Hohtola_et_al_1994,1,Chordata,Aves,Strigiformes,Strigidae,,Aegolius_funereus,Aegolius,funereus,Aegolius_funereus,Terrestrial,Terrestrial,Terrestrial,1
Aegopodium,podagraria,45.4,LT50,,,,,,,,,,Bilger_et_al_1984,3,,,,,,,,,,,,,,Streptophyta,Spermatophyta,Apiales,Apiaceae,,Aegopodium_podagraria,Aegopodium,podagraria,Aegopodium_podagraria,Terrestrial,Terrestrial,Terrestrial,1
Aegotheles,cristatus,34.4,UTNZ,,,,,F,,-30.35,151.45,1000,Doucette_&_Geiser_2008,1,31.5,LTNZ,,,,,F,,-30.35,151.45,1000,Doucette_&_Geiser_2008,1,Chordata,Aves,Caprimulgiformes,Aegothelidae,1,Aegotheles_cristatus,Aegotheles,cristatus,Aegotheles_cristatus,Terrestrial,Terrestrial,Terrestrial,1
Aenictus,sp.1,43.75,ctmax,,,,,25,0.2,4.05,114.81,0,Diamond_et_al_2012,1,,,,,,,,,,,,,,Arthropoda,Insecta,Hymenoptera,Formicidae,,Aenictus_sp.1,Aenictus,sp.,Aenictus_sp.1,Terrestrial,Terrestrial,Terrestrial,1
Aepyprymnus,rufescens,33,UTNZ,,,,,22,,-28.92,152.37,,Rübsamen_et_al_1983,1,25,LTNZ,,,,,22,,-28.92,152.37,,Rübsamen_et_al_1983,1,Chordata,Mammalia,Diprotodontia,Potoroidae,2,Aepyprymnus_rufescens,Aepyprymnus,rufescens,Aepyprymnus_rufescens,Terrestrial,Terrestrial,Terrestrial,1
Aethomys,namaquensis,34.49,UTNZ,,,,,,,-23.48,15.5,,Buffenstein_1984,1,26.39,LTNZ,,,,,,,-23.48,15.5,,Buffenstein_1984,1,Chordata,Mammalia,Rodentia,Muridae,1,Aethomys_namaquensis,Aethomys,namaquensis,Aethomys_namaquensis,Terrestrial,Terrestrial,Terrestrial,1
Afrinus,sp.1,,,,,,,,,,,,,,-6.8,LT50,,,,,6,0.1,-32.4,20.5,1550,Sinclair_&_Chown_2005,1,Arthropoda,Insecta,Coleoptera,Tenebrionidae,,Afrinus_sp.1,Afrinus,sp,Afrinus_sp.1,Terrestrial,Terrestrial,Terrestrial,1
Agabus,brunneus,46.4,LT100,,,,,20.5,1,36,-6.3,135,Calosi_et_al_2008,1,-8.5,LT100,,,,,14.5,1,36,-6.3,135,Calosi_et_al_2008,1,Arthropoda,Insecta,Coleoptera,Dytiscidae,,Agabus_brunneus,Agabus,brunneus,Agabus_brunneus,Freshwater,Freshwater,Terrestrial,1
Agabus,didymus,44.8,LT100,,,,,20.5,1,38,-2.56,1224,Calosi_et_al_2008,1,-9,LT100,,,,,14.5,1,38,-2.56,1224,Calosi_et_al_2008,1,Arthropoda,Insecta,Coleoptera,Dytiscidae,,Agabus_didymus,Agabus,didymus,Agabus_didymus,Freshwater,Freshwater,Terrestrial,1
Agabus,ramblae,44.5,LT100,,,,,20.5,1,37.5,-1.9,533,Calosi_et_al_2008,1,-6.8,LT100,,,,,14.5,1,37.5,-1.9,533,Calosi_et_al_2008,1,Arthropoda,Insecta,Coleoptera,Dytiscidae,,Agabus_ramblae,Agabus,ramblae,Agabus_ramblae,Freshwater,Freshwater,Terrestrial,1
Agabus,rufulus,43.1,LT100,,,,,20.5,1,40.5,8.5,260,Calosi_et_al_2008,1,-8,LT100,,,,,14.5,1,40.5,8.5,260,Calosi_et_al_2008,1,Arthropoda,Insecta,Coleoptera,Dytiscidae,,Agabus_rufulus,Agabus,rufulus,Agabus_rufulus,Freshwater,Freshwater,Terrestrial,1
Agardhiella,subulata,33,LT0,1,34,LT100,1,20,,41.307318,-72.085274,0,Yarish_et_al_1987,1,14,LT0,3,11,LT100,3,,,17.953043,-67.154763,0,Biebl_1962,1,Rhodophyta,Florideophyceae,Gigartinales,Solieriaceae,,Agardhiella_subulata,Agardhiella,subulata,Agardhiella_subulata,Marine,Marine,Marine,1
Agarum,fimbriatum,20,LT0,3,23,LT100,3,,,48.536683,-123.015409,0,Lüning_&_Freshwater_1988,1,,,,,,,,,,,,,,Phaeophyceae,Phaeophyceae,Laminariales,Costariaceae,,Agarum_fimbriatum,Agarum,fimbriatum,Agarum_fimbriatum,Intertidal,Marine,Marine,1
Agelaius,phoeniceus,40,UTNZ,,,,,F,,42.5,-82.48,,Lewies_&_Dwyer_1969,1,27.5,LTNZ,,,,,F,,42.5,-82.48,,Lewies_&_Dwyer_1969,1,Chordata,Aves,Passeriformes,Icteridae,1,Agelaius_phoeniceus,Agelaius,phoeniceus,Agelaius_phoeniceus,Terrestrial,Terrestrial,Terrestrial,1
Agkistrodon,contortrix,40.6,ctmax,,,,,,,35.33,-90.07,78,Sanders_&_Jacob_1981,1,6.9,ctmin,,,,,,,35.33,-90.07,78,Sanders_&_Jacob_1981,1,Chordata,Lepidosauria,Squamata,Viperidae,,Agkistrodon_contortrix,Agkistrodon,contortrix,Agkistrodon_contortrix,Terrestrial,Terrestrial,Terrestrial,1
Aglaothamnion,hookeri,30,LT0,5,35,LT100,5,,,48.7262,-3.985322,0,Biebl_1958,1,,,,,,,,,,,,,,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,,Aglaothamnion_hookeri,Aglaothamnion,hookeri,Aglaothamnion_hookeri,Intertidal,Marine,Marine,1
Agonis,flexuosa,,,,,,,,,,,,,,-4.4,LT50,,,,,F,,,,,Bannister_&_Lord_2010,2,Streptophyta,Spermatophyta,Myrtales,Myrtaceae,,Agonis_flexuosa,Agonis,flexuosa,Agonis_flexuosa,Terrestrial,Terrestrial,Terrestrial,1
Agosia,chrysogaster,38.2,ctmax,,,,,25,0.3,33,-111,1000,Carveth_et_al_2006,1,,,,,,,,,,,,,,Chordata,Actinopteri,Cypriniformes,Cyprinidae,,Agosia_chrysogaster,Agosia,chrysogaster,Agosia_chrysogaster,Freshwater,Freshwater,Terrestrial,1
Agouti,paca,,,,,,,,,,,,,,28,LTNZ,,,,,,,11,-69.6,,Arends_&_McNab_2001,1,Chordata,Mammalia,Rodentia,Cuniculidae,,Agouti_paca,Agouti,paca,Agouti_paca,Terrestrial,Terrestrial,Terrestrial,1
Agroeca,proxima,37.4,ctmax,,,,,15,0.5,55.4,14.19,3,Almquist_1970,1,-6.7,LT50,,,,,4,0.02,55.4,14.19,3,Almquist_1970,1,Arthropoda,Arachnida,Araneae,Liocranidae,,Agroeca_proxima,Agroeca,proxima,Agroeca_proxima,Terrestrial,Terrestrial,Terrestrial,1
Ahnfeltia,plicata,28,LT0,2,30,LT100,2,,,54.19261,7.86732,0,Lüning_1984,1,,,,,,,,,,,,,,Rhodophyta,Florideophyceae,Ahnfeltiales,Ahnfeltiaceae,,Ahnfeltia_plicata,Ahnfeltia,plicata,Ahnfeltia_plicata,Intertidal,Marine,Marine,1
Ahnfeltiopsis,linearis,25,LT0,3,28,LT100,3,,,48.536683,-123.015409,0,Lüning_&_Freshwater_1988,1,,,,,,,,,,,,,,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,,Ahnfeltiopsis_linearis,Ahnfeltiopsis,linearis,Ahnfeltiopsis_linearis,Intertidal,Marine,Marine,1
Ailurus,fulgens,36,UTNZ,,,,,,,33.1,103.27,,McNab_1988,3,25,LTNZ,,,,,,,33.1,103.27,,McNab_1988,3,Chordata,Mammalia,Carnivora,Ailuridae,1,Ailurus_fulgens,Ailurus,fulgens,Ailurus_fulgens,Terrestrial,Terrestrial,Terrestrial,1
Akodon,azarae,32,UTNZ,,,,,,,-37.8,-58.3,,Dalby_&_Heath_1976,1,30,LTNZ,,,,,,,-37.8,-58.3,,Dalby_&_Heath_1976,1,Chordata,Mammalia,Rodentia,Cricetidae,1,Akodon_azarae,Akodon,azarae,Akodon_azarae,Terrestrial,Terrestrial,Terrestrial,1
Alaemon,alaudipes,37.5,UTNZ,,,,,F,,22.15,41.5,,Tieleman_2002,1,32.7,LTNZ,,,,,F,,22.15,41.5,,Tieleman_2002,1,Chordata,Aves,Passeriformes,Alaudidae,2,Alaemon_alaudipes,Alaemon,alaudipes,Alaemon_alaudipes,Terrestrial,Terrestrial,Terrestrial,1
Alaria,esculenta,17,LT0,4,21,LT100,4,,,78.92422,11.975902,0,Fredersdorf_et_al_2009,1,,,,,,,,,,,,,,Phaeophyceae,Phaeophyceae,Laminariales,Alariaceae,,Alaria_esculenta,Alaria,esculenta,Alaria_esculenta,Marine,Marine,Marine,1
Alaria,marginata,18,LT0,2,20,LT100,2,,,48.536683,-123.015409,0,Lüning_&_Freshwater_1988,1,,,,,,,,,,,,,,Phaeophyceae,Phaeophyceae,Laminariales,Alariaceae,,Alaria_marginata,Alaria,marginata,Alaria_marginata,Intertidal,Marine,Marine,1
Alauda,arvensis,35.1,UTNZ,,,,,F,,52.52,6.2,,Tieleman_2002,1,22.2,LTNZ,,,,,F,,52.52,6.2,,Tieleman_2002,1,Chordata,Aves,Passeriformes,Alaudidae,2,Alauda_arvensis,Alauda,arvensis,Alauda_arvensis,Terrestrial,Terrestrial,Terrestrial,1
Alcedo,azurea,34,UTNZ,,,,,,,-5.22,145.79,,McNab_2013,1,19,LTNZ,,,,,,,-5.22,145.79,,McNab_2013,1,Chordata,Aves,Coraciiformes,Alcedinidae,1,Alcedo_azurea,Alcedo,azurea,Alcedo_azurea,Terrestrial,Terrestrial,Terrestrial,1
Alcolapia,grahami,40,LT100,,,,,,,-1.9,36.2,650,Reite_et_al_1974,1,16,LT100,,,,,,,-1.9,36.2,650,Reite_et_al_1974,1,Chordata,Actinopteri,Perciformes,Cichlidae,,Alcolapia_grahami,Alcolapia,grahami,Alcolapia_grahami,Freshwater,Freshwater,Terrestrial,1
Alectoria,ochroleuca,,,,,,,,,,,,,,-8.1,ctmin,,,,,,,46.8,10.9,2300,Lange_1965,1,Ascomycota,Lecanoromycetes,Lecanorineae,Parmeliaceae,,Alectoria_ochroleuca,Alectoria,ochroleuca,Alectoria_ochroleuca,Terrestrial,Terrestrial,Terrestrial,1
Alectoris,chukar,38.5,UTNZ,,,,,,,30.86,34.76,476,Frumkin_et_al_1986,1,28,LTNZ,,,,,,,30.86,34.76,476,Frumkin_et_al_1986,1,Chordata,Aves,Galliformes,Phasianidae,1,Alectoris_chukar,Alectoris,chukar,Alectoris_chukar,Terrestrial,Terrestrial,Terrestrial,1
Alle,alle,20,UTNZ,,,,,F,,79,-11,,Gabrielsen_et_al_1991,1,5,LTNZ,,,,,F,,79,-11,,Gabrielsen_et_al_1991,1,Chordata,Aves,Charadriiformes,Alcidae,1,Alle_alle,Alle,alle,Alle_alle,Marine,Terrestrial,Terrestrial,1
Alosa,pseudoharengus,32.8,ctmax,,,,,25,0.3,42.4,-87.8,180,Otto_et_al_1976,1,6,LT50,,,,,21,,42.4,-87.8,180,Otto_et_al_1976,1,Chordata,Actinopteri,Clupeiformes,Clupeidae,,Alosa_pseudoharengus,Alosa,pseudoharengus,Alosa_pseudoharengus,Freshwater,Marine,Marine,1
Alyxia,buxifolia,,,,,,,,,,,,,,-7.8,LT50,,,,,F,,,,,Bannister_&_Lord_2010,2,Streptophyta,Spermatophyta,Gentianales,Apocynaceae,,Alyxia_buxifolia,Alyxia,buxifolia,Alyxia_buxifolia,Terrestrial,Terrestrial,Terrestrial,1
Amblyopone,pallipes,40,ctmax,,,,,25,0.2,35.78,-78.8,146,Diamond_et_al_2012,1,,,,,,,,,,,,,,Arthropoda,Insecta,Hymenoptera,Formicidae,,Amblyopone_pallipes,Amblyopone,pallipes,Amblyopone_pallipes,Terrestrial,Terrestrial,Terrestrial,1
Ambystoma,jeffersonianum,34,ctmax,,,,,10,,40.23,-76.85,422.2,Gatz_1971,1,,,,,,,0,,40.23,-76.85,422.2,Gatz_1971,,Chordata,Amphibia,Caudata,Ambystomatidae,,Ambystoma_jeffersonianum,Ambystoma,jeffersonianum,Ambystoma_jeffersonianum,Terrestrial,Terrestrial,Terrestrial,1
Ambystoma,macrodactylum,35,ctmax,,,,,20,0.5,44.9,-117.22,1140,Howard_et_al_1983,1,,,,,,,0,,45.5,-117.22,2470,Howard_et_al_1983,,Chordata,Amphibia,Caudata,Ambystomatidae,,Ambystoma_macrodactylum,Ambystoma,macrodactylum,Ambystoma_macrodactylum,Terrestrial,Terrestrial,Terrestrial,1
Ambystoma,maculatum,38.5,ctmax,,,,,15,,35.55,-91.62,184,Sealander_1969,1,,,,,,,0,,35.55,-91.62,184,Sealander_1969,,Chordata,Amphibia,Caudata,Ambystomatidae,,Ambystoma_maculatum,Ambystoma,maculatum,Ambystoma_maculatum,Terrestrial,Terrestrial,Terrestrial,1
Ameiurus,melas,38.1,ctmax,,,,,26,0.017,39,-91,150,Smale_&_Rabeni_1995,1,,,,,,,,,,,,,,Chordata,Actinopteri,Siluriformes,Ictaluridae,,Ameiurus_melas,Ameiurus,melas,Ameiurus_melas,Freshwater,Freshwater,Terrestrial,1
Ameiurus,natalis,37.9,ctmax,,,,,26,0.017,39.5,-91.5,200,Smale_&_Rabeni_1995,1,,,,,,,,,,,,,,Chordata,Actinopteri,Siluriformes,Ictaluridae,,Ameiurus_natalis,Ameiurus,natalis,Ameiurus_natalis,Freshwater,Freshwater,Terrestrial,1
Ameiva,festiva,43.7,ctmax,,,,,,1,10.5,-84,50,vanBerkum_1988,1,15.5,ctmin,,,,,,1,10.5,-84,50,vanBerkum_1988,1,Chordata,Lepidosauria,Squamata,Teiidae,,Ameiva_festiva,Ameiva,festiva,Ameiva_festiva,Terrestrial,Terrestrial,Terrestrial,1
Ameiva,quadrilineata,45.1,ctmax,,,,,F,,10.57,-83.53,27,Hirth_1963,1,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Teiidae,,Ameiva_quadrilineata,Ameiva,quadrilineata,Ameiva_quadrilineata,Terrestrial,Terrestrial,Terrestrial,1
Ammoperdix,heyi,,,,,,,,,,,,,,30,LTNZ,,,,,,,30.86,34.76,476,Frumkin_et_al_1986,1,Chordata,Aves,Galliformes,Phasianidae,,Ammoperdix_heyi,Ammoperdix,heyi,Ammoperdix_heyi,Terrestrial,Terrestrial,Terrestrial,1
Ammospermophilus,leucurus,34,UTNZ,,,,,,,34.6,-117.85,,Dawson_1955,1,31,LTNZ,,,,,,,34.6,-117.85,,Dawson_1955,1,Chordata,Mammalia,Rodentia,Sciuridae,1,Ammospermophilus_leucurus,Ammospermophilus,leucurus,Ammospermophilus_leucurus,Terrestrial,Terrestrial,Terrestrial,1
Amphibolurus,muricatus,42.3,ctmax,,,,,,,-30.52,151.65,1013,Spellerberg_1972a,2,3,ctmin,,,,,,,-30.52,151.65,1013,Spellerberg_1972a,2,Chordata,Lepidosauria,Squamata,Agamidae,,Amphibolurus_muricatus,Amphibolurus,muricatus,Amphibolurus_muricatus,Terrestrial,Terrestrial,Terrestrial,1
Amphispiza,belli,37,UTNZ,,,,,20,,43.5,-121.08,,Moldenhauer_1970,1,28,LTNZ,,,,,20,,43.5,-121.08,,Moldenhauer_1970,1,Chordata,Aves,Passeriformes,Fringillidae,1,Amphispiza_belli,Amphispiza,belli,Amphispiza_belli,Terrestrial,Terrestrial,Terrestrial,1
Amphispiza,bilineata,36,UTNZ,,,,,25,,38.33,-119.64,,Weathers_1981,2,,,,,,,,,,,,,,Chordata,Aves,Passeriformes,Fringillidae,1,Amphispiza_bilineata,Amphispiza,bilineata,Amphispiza_bilineata,Terrestrial,Terrestrial,Terrestrial,1
Anagyris,foetida,44.5,ct50,,,,,,0.5,40.3,-3.7,600,Godoy_et_al_2011,,,,,,,,,,,,,,,Streptophyta,Spermatophyta,Fabales,Fabaceae,,Anagyris_foetida,Anagyris,foetida,Anagyris_foetida,Terrestrial,Terrestrial,Terrestrial,1
