Genus,Species,Tmax,max_metric,max_interval_after_LT0,Tmax_2,max_metric_2,max_interval_before_LT100,max_pretreatment,max_ramp,lat_max,long_max,elevation_max,REF_max,location_max,tmin,min_metric,min_interval_after_LT0,tmin_2,min_metric_2,min_interval_before_LT100,min_pretreatment,ramp_min,lat_min,long_min,elevation_min,REF_min,location_min,Phylum,Class,Order,Family,Quality of UTNZ,species_full,Genus_old,Species_old,species_full_old,Realm,Realm.1,Realm.2,Entry number
Pardosa,nigriceps,39.7,ctmax,,,,,15,0.5,55.4,14.19,3,Almquist_1970,1,-7.2,LT50,,,,,4,0.02,55.4,14.19,3,Almquist_1970,1,Arthropoda,Arachnida,Araneae,Lycosidae,,Pardosa_nigriceps,Pardosa,nigriceps,Pardosa_nigriceps,Terrestrial,Terrestrial,Terrestrial,1
Parmelia,africana,,,,,,,,,,,,,,-13.2,ctmin,,,,,,,-0.2,15.8,700,Lange_1965,2,Ascomycota,Lecanoromycetes,Lecanorineae,Parmeliaceae,,Parmelia_africana,Parmelia,africana,Parmelia_africana,Terrestrial,Terrestrial,Terrestrial,1
Parmelia,coreyi,,,,,,,,,,,,,,-15.9,ctmin,,,,,,,-69.7,22.6,,Lange_1965,2,Ascomycota,Lecanoromycetes,Lecanorineae,Parmeliaceae,,Parmelia_coreyi,Parmelia,coreyi,Parmelia_coreyi,Terrestrial,Terrestrial,Terrestrial,1
Parmelia,schimperi,,,,,,,,,,,,,,-3,ctmin,,,,,,,4.2,9.2,2000,Lange_1965,1,Ascomycota,Lecanoromycetes,Lecanorineae,Parmeliaceae,,Parmelia_schimperi,Parmelia,schimperi,Parmelia_schimperi,Terrestrial,Terrestrial,Terrestrial,1
Parmelia,xanthotropa,,,,,,,,,,,,,,-7.6,ctmin,,,,,,,-0.28,15.8,700,Lange_1965,2,Ascomycota,Lecanoromycetes,Lecanorineae,Parmeliaceae,,Parmelia_xanthotropa,Parmelia,xanthotropa,Parmelia_xanthotropa,Terrestrial,Terrestrial,Terrestrial,1
Parotia,lawesii,30,UTNZ,,,,,,,-6.66,146.99,,McNab_2005,1,17,LTNZ,,,,,,,-6.66,146.99,,McNab_2005,1,Chordata,Aves,Passeriformes,Paradisaeidae,2,Parotia_lawesii,Parotia,lawesii,Parotia_lawesii,Terrestrial,Terrestrial,Terrestrial,1
Parotia,wahnesi,30,UTNZ,,,,,,,-6.66,146.99,,McNab_2005,1,22,LTNZ,,,,,,,-6.66,146.99,,McNab_2005,1,Chordata,Aves,Passeriformes,Paradisaeidae,2,Parotia_wahnesi,Parotia,wahnesi,Parotia_wahnesi,Terrestrial,Terrestrial,Terrestrial,1
Parus,atricapillus,31.5,UTNZ,,,,,,,42.44,-76.5,,Rising_&_Hudson_1974,1,25.5,LTNZ,,,,,,,42.44,-76.5,,Rising_&_Hudson_1974,1,Chordata,Aves,Passeriformes,Paridae,2,Parus_atricapillus,Parus,atricapillus,Parus_atricapillus,Terrestrial,Terrestrial,Terrestrial,1
Parus ,gambeli,32,UTNZ,,,,,F,,41.52,-111.3,2215,Cooper_&_Gessaman_2004,1,16.5,LTNZ,,,,,,,41.52,-111.3,2215,Cooper_&_Gessaman_2004,1,Chordata,Aves,Passeriformes,Paridae,1,Parus_gambeli,Parusÿ,gambeli,Parus_gambeli,Terrestrial,Terrestrial,Terrestrial,1
Parvoscincus,decipiens,32.9,ctmax,,,,,22,0.5,14.09,121.49,1100,Scheffers_et_al_2014,1,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Scincidae,,Parvoscincus_decipiens,Parvoscincus,decipiens,Parvoscincus_decipiens,Terrestrial,Terrestrial,Terrestrial,1
Passer,domesticus,35,UTNZ,,,,,,,29.7,-95.4,,Hudson_&_Kimzey_1966,1,20,LTNZ,,,,,,,29.7,-95.4,,Hudson_&_Kimzey_1966,1,Chordata,Aves,Passeriformes,Passeridae,1,Passer_domesticus,Passer,domesticus,Passer_domesticus,Terrestrial,Terrestrial,Terrestrial,1
Patiriella,brevispina,30,ctmax,,,,,16,0.017,-38,148.5,0,Bates_et_al_2013,2,,,,,,,,,,,,,,Echinodermata,Asteroidea,Valvatida,Asterinidae,,Patiriella_brevispina,Patiriella,brevispina,Patiriella_brevispina,Intertidal,Marine,Marine,1
Pecari,tajacu,32.5,UTNZ,,,,,F,,32.14,-111.05,,Zervanos_1975,1,26.5,LTNZ,,,,,F,,32.14,-111.05,,Zervanos_1975,1,Chordata,Mammalia,Suina,Tayassuidae,1,Pecari_tajacu,Pecari,tajacu,Pecari_tajacu,Terrestrial,Terrestrial,Terrestrial,1
Pedetes,capensis,33,UTNZ,,,,,,,-1.17,36.49,,Muller_et_al_1979,1,23,LTNZ,,,,,,,-1.17,36.49,,Muller_et_al_1979,1,Chordata,Mammalia,Rodentia,Pedetidae,2,Pedetes_capensis,Pedetes,capensis,Pedetes_capensis,Terrestrial,Terrestrial,Terrestrial,1
